"HolderAddress","Quantity","PendingBalanceUpdate"
"0x5c738365142ae7f1f93823c2083e8b51b0609f98","174","No"
"0x8ee55f30b24e42827cb4aad0b75454b92b99f106","159","No"
"0x8030265df9240493f1c71d33277cce5bb1afe557","62","No"
"0x6843a6b398f11e7d837517e1e1a95dcc496709af","52","No"
"0x405020c797a64f155c9966c88e5c677b2dbca5ab","43","No"
"0xd1b0b2672423ce96c599aea1194a72e59bc67e01","38","No"
"0x5191b9520e632011f09bafe8c7e633cd668bc4cc","34","No"
"0x4b3dcc15a8ab43128210fe3327bc830c36a15541","32","No"
"0x3c01bc75176b08c89ca25ea43bd6e3c93d75bf73","29","No"
"0x6478c54d7e93801950ef4970424d2e84bd1a7ea1","26","No"
"0x51a5ca02aa359355b230c6707e640fc6bb811c37","25","No"
"0xc11f42d7b2ff88bc32da5d06bc4b7467ac2b80aa","25","No"
"0xa9f4b1826fd3a285c3faf2193a0da55c50e8fd33","24","No"
"0xefced6feeac7ef5cd6d2cb6d30f5d9a3abae0ce1","24","No"
"0xaf5dda11ae68775a297409b98b3b704fe26cf5b6","23","No"
"0x562257821731283b842cf689df9941ddbec3a2a5","22","No"
"0xcc3f08dd2338debf0582cc9a0cf3e8ffd04ae414","22","No"
"0xece0fe1917e2a4445c8ba2d80d946d5660201076","22","No"
"0x6e65772af2f0815b4676483f862e7c116fea195e","20","No"
"0x63db9cb56540b6db56a52df19b69865a004e268f","19","No"
"0xfed84905efb08a5b688419c8eb4d8f353de19c2e","18","No"
"0xdaf780714ce4931f98129060445fc6eb4ab73bb1","17","No"
"0x9076522f767597b93fa83f39ce163777bf20c3b1","16","No"
"0x379d98c588a231e9a1bb3f2ef413bf217f98c557","15","No"
"0x4bb713eb362cef8c7ee8437dd0376b18deff603c","15","No"
"0x8161aca714a7c1297908ba831c47b06b093841bb","15","No"
"0xe74c9142b98bb85bde035a98373c69177680e9a6","15","No"
"0x05d0438a55529ce36e7da737cfd1addee63cf04f","14","No"
"0x229bc9afe9d1743ba0a2f929ff2e4e0184866f11","14","No"
"0xafc7c894fab4fe3479aa0db52d6d560287e2a6f0","14","No"
"0xba9c6b15946db3e7ef176f983ede4e1d12d4bb9f","14","No"
"0xdc0e734ae36f960445b5f38e4ae14133eb47cc7d","14","No"
"0xfe38b5aa308907f1a119db0fab27afb57dbe4ccc","14","No"
"0x09d0dffd1f536d42020c7299ce6b03d7f41684de","13","No"
"0x901a07f3578d94564139408703585789a1bdf8c4","13","No"
"0xbd65d5f7e1390d8cd33d6e3171d0d340d1a06145","13","No"
"0x0cb005ab128702ed62a2f93844edf41f3864da45","12","No"
"0x1bee1e4e0f38740828e77447064b0f67cf9dfd0f","12","No"
"0x35e8489eafa4dc7f300e768dedd6f5227611e99f","12","No"
"0x3ceb33aa7dd005f4b170115756dc8a079cbf20e2","12","No"
"0x40c967bd8f32dda34947d3cc0c094b4c1c52fc34","12","No"
"0x862ee25d724be2a1113721e09f7513b60589d25b","12","No"
"0xb8cf127e39da6547835f9b39a7f3881b59b8a8f4","12","No"
"0xbb01b3a9305aba172631b363131dbc6052f1389e","12","No"
"0xfbf8ae69b25542ac6833e2de631e7b082ffab1f5","12","No"
"0x0921ebeef6c0083d17dd53def0c4f4cb9fee9cd2","11","No"
"0xb8c890799e327feda1291c3d9416cd58d46a53d9","11","No"
"0xbe40c93f46b5dad5842d66efc76ec427c2f2acf8","11","No"
"0xd60a1236f505f18356955fbe17b6bab0f550ff0e","11","No"
"0xd93cac570ebf525b4f1f725606dc8bc4d81aba63","11","No"
"0x0c3261e6bbf1fb802d69e6198771804a4150c8fb","10","No"
"0x2336bc91e1d1442a78ef1ef79f92659dd8fd1614","10","No"
"0x41d3ea0d6a64d603cb8c3ff710f05f546061cdde","10","No"
"0x4d91838268f6d6d4e590e8fd2a001cd91c32e7a4","10","No"
"0x61c371ba956c7f2fbe0913843de98c5e55be8ee7","10","No"
"0x7ddae9139db6ef4780a6cab78c0dd73a4e90dec7","10","No"
"0x85d401a2e1ac8b625b9f4d0e569ead16898cff17","10","No"
"0xc66801755f833374fa4eb3ba67c25f720699b490","10","No"
"0xde79aaa2f54160b45ef69e1c4b8fc4c290cd5b88","10","No"
"0xeadaa45fc7e8912d8aabf415205830f6b567610b","10","No"
"0xff7245b90d3d9bad11ba1649473123ea3ae9cd29","10","No"
"0x09769f00089341542ec31f7976b456a90b673054","9","No"
"0x10bf0cc5fce2f6b8cae0dc97255c2e3a57ee9d47","9","No"
"0x15232799bd16d8304b918240c2e31b5d4b60e90a","9","No"
"0x16185cf66accce5680188976bf310ebb0f68c86d","9","No"
