"HolderAddress","Quantity","PendingBalanceUpdate"
"0x18ccf57c47b2bb64fa7b88f4791d22718d71549e","52","No"
"0xaa807c82ce120c9760616a9c64d58d668c22794d","47","No"
"0x2d8fedb175fd645595ffd95d3432b0a1e93f82b1","17","No"
"0x40711b63db79a5e8579bd53f84c5c558e856f806","16","No"
"0xc202d309bc18987964662a3ad6da81a612f97f48","15","No"
"0x7f3f703ca768699887863e5d517e16bedccc1d5b","12","No"
"0xd5af5ffe9541c1a68c17069d9420d72ff02b3367","12","No"
"0xe96eb4507a1d162bbb99301fe592d310e9489e40","11","No"
"0x30ed38cbb15986b20a232e0e897f6cbee7eb45bc","10","No"
"0xc195f0361045f575ed459ba14a7330209337f1c0","10","No"
"0x8cf225be46a600716afd4f189a98626177ee38a3","9","No"
"0xa80ef5e11ecfafaa4c63ce20a6212ccdce34a19b","8","No"
"0xd7156d2cba194c124fa10191461d61af7e275c05","8","No"
"0xe4db919f64fd99f0d2354a180833d64eef015755","8","No"
"0x7c14febbbd23780bb169bf87a15936f3fa036cbc","8","No"
"0x525a39ffdf2a0c085c64b6774bd1a231fb0614d2","7","No"
"0xf7e2a2b179b288a2fab24b0bf1f80740f3abb8ea","7","No"
"0xc28255504e5f34db3dc65237ce22bdfd84a87f97","6","No"
"0x256b3925a7294163395c6c788d7ec6bc54427306","6","No"
"0x111ce8d46cd445f5ab1ce3545d97b45071dfecc0","6","No"
"0x52f685ae7144f10747b015af9dcc6f4cfed5de81","6","No"
"0x47fd8b71beb18c9f154eda4005e271a15ec782c0","5","No"
"0x5a1cb97f1229b897dc2a8b5ba125dde37513e149","5","No"
"0x31a666b9d42c39638d21a1750a730b91b8ead760","5","No"
"0x177574be82de7d832539064f1ba6e5200929f605","5","No"
"0xfdf67bf47cc5a3063d6aee31d096731f82a7e4ce","5","No"
"0x46f2d8131950759cc11b3834e6d7018fbf1375e9","5","No"
"0x2af2079c1bbbff82145fd61e6d3e4d47293d1495","5","No"
"0x7aa622b36bb8fe054ae5da5006de58bce250ed7c","5","No"
"0x586d0505a2b9afe4a69c205cd70cc199ca618dbe","5","No"
"0xcfbc98728a90a299742156661a62aa38b791f34e","5","No"
"0xf922393931d2ed1160bc995e40fdac8c60fb7845","5","No"
"0x993b00c53bb9c57b6838092be9472d02e2bc28a3","5","No"
"0xc2ba8c32959934f9a35f0915d4f7b550e9d0a357","4","No"
"0xcf5d25e934985024a8a3db0f2368a14934dfdf44","4","No"
"0x45c26b461a3e8e42b4f9b6a74ba3b2cfe7b9c3a6","4","No"
"0xd86d37bb345ae67432fe8adb7ebddc168801dc05","4","No"
"0x04652f0f8712000cadb38b82497fad239ef6895c","4","No"
"0xeef27fa35c15c2fc92fc2dea3c3efbb081854cac","4","No"
"0xd187241884009163e35b36559ca5549ae5678852","4","No"
"0xb610200968a950863572f5af94165eeff47de252","4","No"
"0xce5473b8ee38d65bf65c1741cd9b1204eeb771bb","4","No"
"0x3ec4c95ecaf3b935cf1175641ad5f2a12431733d","4","No"
"0x6569931b935b0d66ebff7385ad150e3ef79821ae","4","No"
"0x05d72c1fb817fb2948d965d77449c09d8b6977db","4","No"
"0x4d1184b7e24b7d2f9d83df7ec66ca45d2843cd11","4","No"
"0x59bfb71e78e951535352ccc142c9ecc32eee2788","4","No"
"0x6ef7f250afebea4df3c2037ba8c3bad846720111","4","No"
"0x79d67076152fd2cedb2555d1d79bd3375e26a3d4","4","No"
"0xe97c1320595161934670d5bef01bd98a2ca2089a","4","No"
"0xeb16770b46ae6b971bb6110a489f8073289cf21f","4","No"
"0xf57611c45725e69189c52774b8c5ec183149e40c","3","No"
"0xc99caab07d4aa8a437fe1ba65185c2462a22b55d","3","No"
"0xef8e27bad0f2eee4e691e5b1eaab3c019e369557","3","No"
"0x794766b68841d2dbc8cb8ff93c902b8d0c6643ff","3","No"
"0xbc6cdd505a455c696337a65092b25a42f35c06e3","3","No"
"0x2ed65eb5888cd73d74b9c847ffe4b801ee818720","3","No"
"0xe71a3e3e5de66fedaf17bb3ee5ae098ea6cd3764","3","No"
"0xd78b3277352d7c7752831de72510f485f3e8a58c","3","No"
"0x4fa5d8a3c91ed86531f415ef410426f8c4a2c943","3","No"
"0x34e73360577291c4d05276b966738222a685b051","3","No"
"0x562679a8466753a2526bb83a4b02d49d7050b29f","3","No"
"0x770f0f85fd5a461bc49905187eda4e255759ad5f","3","No"
"0xba2ee948859158e10d4366c1f6ec0c6a25ffedbc","3","No"
"0xe32e84951f016a70ff7271aa180f2fceb63b14ce","3","No"
"0x2a78a1655bc34500a2d088f5450bb97a00045459","3","No"
"0xe5526f702086ed680308dcb96e47b8eb387c6c05","3","No"
"0x3e05fc835a92fa1ad481c623d1f5097bfd55bb18","3","No"
"0x9da95b5d5526152d27ac6e44064c6d7caed639dc","3","No"
"0xfc7a18e0fb3a542ac6b7b6b46b459986ae0505fd","3","No"
"0xeecde6de0a5655cd09e3cb2e1aee593f69957e4a","3","No"
"0x9d13f9d4a98e75d1aee55206e64653df0f3a494a","3","No"
"0x88ed1aafc65c263e9a28b9bd381b5e3aebee3cd5","2","No"
"0x19748446a67b690ef1dd13ee61a615e9028bc6e0","2","No"
"0x1c1d7e85f14cf6e86892d0bded33b42a5615e577","2","No"
"0x14e63ebf08494c7b2f9934ec9dec6154d529d033","2","No"
"0xcee4ae593641fefd63ce6e0d82e67d42a0960f88","2","No"
"0xb0ac37009056d60e2d826a76865879fb8e6119ea","2","No"
"0x32725869954846b93c4846bf556bc341b3006fba","2","No"
"0x5c95a4c6f66964df324cc95418f8cc9ed6d25d7c","2","No"
"0x92622a067020c9ea591da45046768503236057ab","2","No"
"0xdaf7e801c896de146ef91ab51f6c5e536de73bfd","2","No"
"0x4b49bcc7960438db65070a9e4a68d32d8dce9d7f","2","No"
"0xb48244845adeb7a695255db09fa5199959777171","2","No"
"0xd35fe7ba9a521cca118dea5ddf7f95168c9527d6","2","No"
"0x86ed3683449a4481f560fdb4695d1024e8d1a2fc","2","No"
"0xc57b2900f3ab9b9bd4ffcdb8174cd7665d0da8bc","2","No"
"0xd354b51ca68030d16caf91177b546c5ebaab0277","2","No"
"0xd41662661dae4aa5a6714ba70a92f050964a31f5","2","No"
