"HolderAddress","Quantity","PendingBalanceUpdate"
"0x98a07ab22e6f16e3a6de21ed7dc1716b59de18ac","453","No"
"0xaa807c82ce120c9760616a9c64d58d668c22794d","56","No"
"0x18ccf57c47b2bb64fa7b88f4791d22718d71549e","52","No"
"0x75335b8fd31bae348307c0cfff2b1fec781e50a6","43","No"
"0x7e5b35a6c1861fb22324146d6a1ff5f362c82966","42","No"
"0xc2ba8c32959934f9a35f0915d4f7b550e9d0a357","29","No"
"0x7e00f4110fb7d02a91632895fb93cd09af3209c6","25","No"
"0x40711b63db79a5e8579bd53f84c5c558e856f806","24","No"
"0x2d8fedb175fd645595ffd95d3432b0a1e93f82b1","24","No"
"0xd6d3a9d2d44d31d4830760710061be1920a8ede1","21","No"
"0xd82babcc30aa8398bcaf0a18841b5728d1a4ec03","20","No"
"0xe556fb16ce20d680c80254fdc42beae799ce14e4","19","No"
"0x310ba68f32121479cb28c9656ba24e4664be954f","19","No"
"0xa56c04347abee42f663eff9bc2d0147b97c8f782","18","No"
"0xc57b2900f3ab9b9bd4ffcdb8174cd7665d0da8bc","17","No"
"0xac437a705d95dd667378910a402c65ea4d8b9bf2","17","No"
"0x4c6b83ca1c59781fab57790a46281bbd93e539fe","17","No"
"0x99790c4e8bb78efe2b487e8d1fba10e94fde311d","17","No"
"0x111ce8d46cd445f5ab1ce3545d97b45071dfecc0","16","No"
"0xaef605ff8e05ef65e61729006c6abbc39af588c0","15","No"
"0x7f3f703ca768699887863e5d517e16bedccc1d5b","15","No"
"0xc202d309bc18987964662a3ad6da81a612f97f48","15","No"
"0x525a39ffdf2a0c085c64b6774bd1a231fb0614d2","14","No"
"0x64072ae2095677ab7e8df63e1fbae89b6366d6b4","14","No"
"0x177574be82de7d832539064f1ba6e5200929f605","14","No"
"0x79d67076152fd2cedb2555d1d79bd3375e26a3d4","13","No"
"0xa2272469c824d2b34407c08c1b377f3027406fea","12","No"
"0xd5af5ffe9541c1a68c17069d9420d72ff02b3367","12","No"
"0xc195f0361045f575ed459ba14a7330209337f1c0","12","No"
"0x3e17258a44f938db9803c18c3c762653f5a23e54","11","No"
"0x16a5779afcc84e5fb7c8e9ca615b65e94e165f0d","11","No"
"0xd83c7bced50ba86f1c1fbf29abba278e3659f72a","11","No"
"0xe96eb4507a1d162bbb99301fe592d310e9489e40","11","No"
"0x9c45759c699624da8ce41ab2b5fc2ae6b51c786e","11","No"
"0x256b3925a7294163395c6c788d7ec6bc54427306","10","No"
"0x433c8a73bec1273561e4e2201649de12f20b7d58","10","No"
"0x140baa522183d67dc6432e5bc85442ca0d5a49dc","10","No"
"0xbc6e70cb9b89851e6cff7ce198a774549f4c0f0c","10","No"
"0x4d9b5696a8afed6b65f92b1b86ccf90c7561ae56","10","No"
"0x640b31b2c5cf650c2a75c7018af19ee5bf8f20c3","10","No"
"0xb5eba9ffbd48eba4e7635c2c660a787739b37c55","10","No"
"0xfbff6be0bc8ca216aa62075b2798b70a6d099ae6","10","No"
"0x5deb58731024ef186239e0e4d1b8310a220f4f60","10","No"
