"HolderAddress","Quantity","PendingBalanceUpdate"
"0x3e91deac3285910b1282448d095da8d89417062c","316","No"
"0x4a60f5279735ae731845b64ec2537f0243a19a01","120","No"
"0xc58c88fcd81140ccdecd5ab0286926da3e07b3be","92","No"
"0x824c8613b1f3e2d0c7d035b8338cb6c00069fb7e","51","No"
"0xcf08a7f3bf2f773858c3ef913fe65d24667bc54b","50","No"
"0xcbe665b543fed5948448b0a3e095b262380c16bf","35","No"
"0x6af30c26ecd6cf5053c980729f96e4891684fb2d","25","No"
"0xf277e48b865697bc7d281ce5f9c6ccdd87482da0","20","No"
"0x02567d98dba79f6acf3798521fb517aa6f40a888","18","No"
"0x2d3300cc7fe1d686090b7441ea535f37ee5cb448","17","No"
"0x63d5b13bbe33f4a07c04b302753038da7949aa50","16","No"
"0x25b011cbe1a945d002a99991ea144736f30a804c","16","No"
"0x5cd15c7f142a7e53e45bb9ecdcb25a522e11588b","14","No"
"0xcf6d38f828b34af66a862918a8e5ec583753e981","12","No"
"0x3cd3bf7db26df10ff229fe8f8650bb9f8d05f103","11","No"
"0x746fa61164a08f1bd90712da08d5468e8a9e2d33","11","No"
"0x2bbe48a3c676b45e9366df18d99a10a730e22bd3","10","No"
"0x3b9d62dba89b78ba623a7f40ecda20a3d8be2dac","10","No"
"0x3fbcd3e067a5ff2395fc5fb242029e45b6c0bd78","10","No"
"0x75b0955d5727148816479881b7dd4cc646af27bb","10","No"
"0x094f7dbcc793a7df4c5c59b61131cd7977981c21","10","No"
"0x833aa36cd9b81fce27cb05b12b3162c127247dad","10","No"
"0xffb23c613f188b442bed10c2f7f58d08d5f9a1cd","10","No"
"0x1dabc3b1e6e6878fea60f9d9799b1cfdbb9d6aef","10","No"
"0x6e9aa263c5b7d7c71caac31788c88e5e766643f7","10","No"
"0xbfc774898554d7d01526d15bbdc5dc95d99da00d","10","No"
"0xe7ac211b45fdc370499e3564940f5a04d22ad20a","9","No"
"0x5523f3565ee45a3d9a6245f2a65b1b7cdc3e9f21","9","No"
"0x4512c9b78d9effd2ed1e723ffb59902f5b84b0f0","8","No"
"0xe5d8b4a0267560ac80ec795f51bff8b97067d111","8","No"
"0x1f3a3ae0b7798314942b1b01ef2003e3a2980004","8","No"
"0x3986179dfb74aaa3ebaac9b1ce21a18da618f52c","7","No"
"0xda778fa20083e2f04d94fd1d97906f8f71e2d664","7","No"
"0xf3a132fa9a3f15e88cb158b66bc495a3d280d184","7","No"
"0xc49e8918ce75751d2fd072c185a489c375a3510a","6","No"
"0x5d9ba9fea33fd179f7ea608ff9a15b6d1854da59","6","No"
"0x21389a213b7ab32dab0b9b3980a46c5c49984210","6","No"
"0x632a0313e0da9df78a7f2551325f29fefb7e8fc2","6","No"
"0x22e0786d58495a4bff37923368cc0c2f325cceac","6","No"
"0x901a07f3578d94564139408703585789a1bdf8c4","6","No"
"0xd2ecf6319f7084f498cedb79e9a71df18e147e14","6","No"
"0xb9133d52a6de5020ff0176a0ca50628a46199791","6","No"
"0x20f3bff07d15e01fb864a0a09cc34f6c2742bdf0","6","No"
"0xcc55e546a297ddf6cc56301856ebe054dc513c4e","5","No"
"0x77769a19cb1d40ba3cd2cd0d56b561e001ae3581","5","No"
"0x2dcaf9ba3402f3be3df1e4d15b3aceed6c2514b0","5","No"
"0x695d7a43024bc0d44cb34bde27f79823212f4b34","5","No"
"0x39806b82ee5fb33ff8c7c6a8756a809aa1745eac","5","No"
