"HolderAddress","Quantity","PendingBalanceUpdate"
"0xda02314a101397951ccba436c7c14a34dbd55360","120","No"
"0x6d9148e201304aa9cca58a759a134a3fb58fe718","92","No"
"0x768c0a249fe1925d591a6ac7f651a290a8b4ba06","61","No"
"0xa07795db4c7cb9fdc114cd7fd8365558f2147d73","55","No"
"0xb91efe41e38d2d6441c45bbf7a5704b9a1beb905","40","No"
"0x4c8f93d95354ecf0b54222be4c4e8fb37ba8f3bc","39","No"
"0xc01ef6828a00210bb13355b0e494e250348810c5","38","No"
"0x7ce779604dbe0a293cbec245459abe4e0fa8ec61","37","No"
"0x800e6ecb05488f1fb01909fdfaa6d509a6202454","33","No"
"0x21ace337844636e56195d58b60b76803435c9eb9","29","No"
"0xb12f1f37767d19d63ca5a9889da95cb396c957eb","26","No"
"0x6dbc0f5b23e9766fe3c134cff4ae822227a456fe","25","No"
"0xa0ce01cf9a08aff84f0b4d60818b986425aa2815","24","No"
"0x88774ac6c8898bcabcb9fe2318d5ce810ef8542c","24","No"
"0x2331d9db68ed37f52ab4bd70a1ebbe2dd846d308","24","No"
"0xb74d5f0a81ce99ac1857133e489bc2b4954935ff","23","No"
"0xd5cc5392ddc4177a8ec1e1d8f2d2b92f1f5feeb6","23","No"
"0xf664e24b90795b050313df86160646f37684502f","23","No"
"0x662b13e0cf54e5062984a2120f68cd6d84851f0a","23","No"
"0xa298819bad2e1408cf42426c11d172785747a38e","23","No"
"0x9e56625509c2f60af937f23b7b532600390e8c8b","22","No"
"0x5ffdf6a5f5121f653254cf64428c2afaeeeee741","22","No"
"0x0b40fa9738566cea143b9875f00a2d25c7a3d920","22","No"
"0x80c3ae77127bfd2d5b2a0bea5591079b637661b5","21","No"
"0xd73e4541324f820e31d5ee24f2073b26e8585657","21","No"
"0xd34b87a9841f9920a35242c168d2c234655c16e5","20","No"
"0x82d5866a5dc166d2d440e8fee315c3752ce9d1fe","19","No"
"0x410984497ba7445ccab95b4265c1d21b6ff07731","19","No"
"0x73329c2737007a1b43ba19d501b10afe5580f3fa","16","No"
"0x498b8351180fc022a029630560131cf87ba9fb6f","16","No"
"0x5e3b7003f46632a60e828ec84acedac600efa326","16","No"
"0x844d679b088a9e4cc3c6b10a06ee1d2f4620ae70","15","No"
"0x24b88ad5637a064add95263e463a9a60d4d068a6","14","No"
"0xd5f4bb72b6543f31c226793d8e2f82adeeaf66aa","14","No"
"0x71829dd36d8061ac32104bce3eed90609eb7a4d2","13","No"
"0x50e2adc9cd05e7cc832661c599597549df69ab8b","13","No"
"0xda9d61cef109b8ed855e4998ab399227c20ea660","13","No"
"0x1af9b31cf05172696b3e36ed85a5c7bea39e9783","13","No"
"0x241c86e51773b7ad38e554c150597ad4cc76e621","12","No"
"0x25b0d8a9d826691e7f161cad40512c3e44d621e6","12","No"
"0xcc1cdef0a778481a4a39e43cbb7324dab8d9d9d8","11","No"
"0x6a56ebf9c469f1f6cd7324ebd809b7e541cb9964","10","No"
"0xb82eb1da53c5e394f8525c7d627dd03640d6bc97","10","No"
"0xda862691ab3f8fd3f28123b72146a571575e5e2a","10","No"
"0xd8f6d929b73d454f9872845a73b50b534da853ba","10","No"
"0xbb93664780e5e4e22f5255c774bfc455ebfa789e","10","No"
"0xd57122b55c7be43348dcbb79e36240c13190614e","9","No"
"0x503a2f8900b62fc40ab243c6b2cc502616f985f0","9","No"
"0xb394f1aa30ba874df3ae6097bf4c2474b2d8f3ac","9","No"
"0x4227a3fc50052969c753605af65647ee8df01850","9","No"
"0x6e21b422ac130e4f78991d89fca78cdf54c802f5","9","No"
"0x5a7522eab656dcc7122186d9f59208b8bfe7ce51","9","No"
"0xd606cd1d1091c980c48c0f8b171614c928a20a6d","9","No"
"0xb4eb35871c6aafeb7a315b25da4c963a35e59c02","9","No"
"0x135bd6e421d852ed77265915f10fd8e8386cfc26","9","No"
"0x80c927f092d4da188142bc5f1990e4d67fbfab3b","9","No"
"0xfae1fdc3b4ed49e533462b0804f13e8cdf9b4114","9","No"
"0x61d0ea212b35721e021f56094603165a92410c19","8","No"
"0x5a7c1425c0a56dc22ae17cbe7e586756f32d1b13","8","No"
"0x5fe9cfa5cfecdc333eb102d219b4e77eacde9828","8","No"
"0x7b434fd7869ed3ce006f33a44a9353fb87bb445b","8","No"
"0x996e1d4ce3e1e558889832832004b2466153adbe","8","No"
"0x297361c24a9f60f3b0b46227292f2217ec7410a3","8","No"
"0x828cebb8cc44cb9047f0f057f9603c7348553d84","8","No"
"0xda699f44fc70446d49795a2b33b2f6a7c2309c0e","7","No"
"0x4d6624c652f3aff0f638ca02ff878311798ebbd5","7","No"
"0x805b01e7f3fe127769b249763250222630968b4d","7","No"
"0xd41629a00e965c8457a23fa1027b844044a88a7f","7","No"
"0x6fb33b9061f6079d320dcaf369b696874cfd496f","7","No"
"0xb15a48bef1d9777cae74e3a620b01e29406b69cd","7","No"
"0xed3b3c0b1af71fff95f1d646d8f397a167efcdb2","7","No"
"0xe33c3cde8beb5892973052c333dc6827bd7fac48","6","No"
"0x1af42e861037f45e1afde49917d545cda5171a72","6","No"
"0xad074143336068a5b491aecd2f105cd2fed99e5e","6","No"
"0x25054f27c9972b341aee6c0d373a652566075431","6","No"
"0x592234c63ac3c816b0485761bc00fc1b932d18fd","6","No"
"0x43b07382dd8be2d8892f83a6b6d1ddb7a832f0ff","6","No"
"0x802ad093ae14f98a71da727468717c08027cebaa","6","No"
"0xee0db089d98dafa516538b336184cf6b135a8be0","6","No"
"0x9e73f8372515ae24d0a4a16874b2d816e3323846","6","No"
"0xc9f203b4692c04ba7155ef71d8f5d42bfcfbc09b","6","No"
"0x5a926a97a37ddbd97992025e06780c8d9cbb91e5","6","No"
"0x2b59838bc6629ab8a9f7f979b3e158ff5b55607e","6","No"
"0x599d1dc26d97c251bcc7fc0779281540e301c9a8","6","No"
"0x812483a65e6da62e0cc9c305897128fc32358990","6","No"
"0xf5903552a7b73b0dc7f877fa93d6fa8d93f665a1","6","No"
"0xef748f6909e67e041a5da62d0f0697f98ab74ff4","6","No"
"0x5940d25f034af3deffe99c3558b39aa1baade443","5","No"
"0x03a4925f640c3d2e3825aac8a001ae2c965db731","5","No"
"0xde923df474661ddf3727c913ebfee3df0b37beb8","5","No"
"0x2b720871c6fb098036108b8a80dc4ca6fab60358","5","No"
"0x98fc0619b8057c5118ee0f048e3bea86547892b0","5","No"
"0xfc811061134fa6ccfd22f56cc91bf6450bea2d01","5","No"
"0x33e3c007d1d48e2b645c9ce22570267b0c82f578","5","No"
"0xb6dca1da8adc5a0b6afae9e8799476d8375779f1","5","No"
"0xe6b9f6b9cc3dac911976008b131c2ca634d576c5","5","No"
"0xcfd7396e8690265894357fcc1996a40fc0879bad","5","No"
"0x0c30cb57ce0ef739433ea8c5e2ee0ecc4d3417ac","5","No"
"0xe7a5b718e6111eb3e389668cb76064c19afdbc78","5","No"
"0x028137184d55d4f8b615b96aa5abd60fa4eb221a","5","No"
"0x9e145e66599739bc91e1e9c153ad5339b66c025a","5","No"
"0x29305f00848eac1a4ebaaf982d0458b07a6dc801","5","No"
"0xe74a994eac64a2e3c7c15156fdd06e8cc9af54d2","5","No"
"0x9a16686ca53a8e6940fd59dc7fe1bf15d26d7ac7","5","No"
"0x39f52180e71dbbae7e1b03cbb557f2ac3e7ac8df","5","No"
"0x7811c6a535ddff8f86bfdeade882e744bc9fe380","5","No"
"0xe79328af1a8c1fbe5b53c2498c4f736ac14c1dda","5","No"
"0x94456a63bb96c30f7a4d18086154a1648558c700","5","No"
"0x63f23e73e444524aaa28aca79b4e58f8893b7bf7","5","No"
"0xb8ffa9bb58536ba6132fe559cc8dd6e70416ea05","4","No"
"0x6fef3d3226e9da958cc66bcb513db55224e1f1ae","4","No"
"0x2310da9a053ee821086eb150025f67db0313ada3","4","No"
"0x4f88c947e1c254cf0f56da819e024779fa202787","4","No"
"0x0e8b44bf1b9e89274bc20f9493f7e3475d4df89b","4","No"
"0x6ebc4cdb856861e2ca6b0e0235aa13d9b3a8f0e9","4","No"
"0xc0fa110cd92f9ae9089c1c81ca631b689492cb46","4","No"
"0x31e4a3ef430a729a133483ac783963ce41ceda3e","4","No"
"0x2c8875f34ceb219f61b7453b2c5f100ec2f6ed33","4","No"
"0xd34d162a0ee723e978a6c879a707b8fa586bdcb2","4","No"
"0x387cba805a719a1613488e489a8e7f0de63aed14","4","No"
"0x2713c38772af7ecb9c9cb859ffcec701635db05d","4","No"
"0xa5eab54030513f62cb43a206cec0bdf0222a775e","4","No"
"0x3eb8714fd250fa9f22a95734343c3177e3785391","4","No"
"0xf2b46b88383c74250e0253294b4ed010fdbdc858","4","No"
"0x667c66a1dde2ef5a2f92414ae51e07a8d91e135d","4","No"
"0x535a23852cd726000856cf370b42c9a6d37779a9","4","No"
"0x9838cb854c40ee344dae51880f8ed848978db07f","4","No"
"0xdde1951ae64033c9d76517e9111278104fdbc963","4","No"
"0x34f6e236880d962726fdb5996f6a0bce42ea6ca5","4","No"
"0x0cdc923ed5013b705edebdfd52cc765972749b97","4","No"
"0x7f4a465212aaadac5fa6b437b80e321e70d0e8a5","4","No"
"0xd6917f9a6460c8435923fded9d8a76367d15201e","4","No"
"0xd7f0a7d5d3079be59900858e6e4ce365f404f8d8","4","No"
"0xc2f9902df10a092d65f8412a48addade53ce32fd","4","No"
"0x183a77e73643980f711755f5baaa6681dead23fe","4","No"
"0x22b09114cd8cac751fea4ad53a4ae04def12b332","4","No"
"0x89831ef83444823b033cbfebf877a197d39aa231","4","No"
"0xb65614e674648295273571b653d09c99d94613f5","4","No"
"0x3fcd3e90795a3d8cc3d95afacfa751fb855b55d5","4","No"
"0x0bf8e891ac0186f42cf4da04eba85fd814bfd0f5","4","No"
"0xeee246f3887bd85c35adeb0f976476b56a9e0e7f","4","No"
"0xdcfb8bea154136bf2a510d589f31494322c8cc91","4","No"
"0xffeac47a0c12efc09835d7b9640606dd1e24c308","4","No"
"0x138ade0b9318a2f0e46927be641ee74d5f5211a0","4","No"
"0x90db488a8d564b7c8ff262bca1311120e6cf8587","4","No"
"0x19e11be81a499217354c4766b8302e7a7c5d806f","4","No"
