"HolderAddress","Quantity","PendingBalanceUpdate"
"0x3837bed4055a7e0d9b1f180f038786e2e6055d8b","113","No"
"0x475295cbf3f2e18d6276d5301b483c3a592c65dd","100","No"
"0x3ecd8f1e39f6d1656de6f3d73f0c2aa7e2ae324e","78","No"
"0xcaf784dad9da1e9eb69726e8cc12b92c533b2556","77","No"
"0xdab8702c95b17c86fe41ca44ace5b94a072f5c76","75","No"
"0xc9276bf8fd4cdde68833d6df161b956c7c73952d","73","No"
"0x607882487f60fc4ac037954d71bb708a7396c702","70","No"
"0x209dd6b80ab548128e9e57ba3f935e561ad68e89","59","No"
"0x7ac92ebf54e6986da7dd67c05754fceb15370bbf","53","No"
"0x2e3ad7a8efd5e73ba07aefc879514a7e520c4d0f","51","No"
"0x7efda3b714e4d8fb63accf5566b536f38f5eca35","45","No"
"0xb5d7cc8e25bc73ae70c0730b25607042253804c6","44","No"
"0x5c0ac43fa40cdbfe6d86e9041052b2eabb799227","40","No"
"0x7bf14d493520f20fad2e326dec83509d1116c6b6","40","No"
"0xb0b22713b38adda29157a2747688d52a89cc7d4d","39","No"
"0xc771ec62bba947dfa9ad2aeb4d161be54f93e700","37","No"
"0xf705b9ba1908ca505537f309b08e6949c1b8f31f","31","No"
"0xff00d4fd6dcd4599fea5bed04cd4790d10e7cccc","30","No"
"0x3d5e1863f978a01961618dbc6925900ef01e9df7","28","No"
"0x60ed33735c9c29ec2c26b8ec734e36d5b6fa1eab","27","No"
"0x8a6f7c5f6a657ba33506f50467347cbbbe4d8de5","25","No"
"0xefdfcba2bb93c8ff071b2d06d5cd15457c801203","25","No"
"0x9177530f4e09186db84523cc7e074a41fe958344","24","No"
"0x840a3b0fb0ac5750eac58ade86dd02e06dbb5482","23","No"
"0x5da79e08dce76306c250636e4666d3a76337b9eb","22","No"
"0x493491c6de7c6fdc024fd5d8e799b727cfa157b6","21","No"
"0x2825cc20b35bcbf783757b7664c794adf99a745b","21","No"
"0xe9fecd6cbb3a2aae27d0e718cc09d1be3c606260","20","No"
"0xfccd18adfbebddcbd0843c8d598135a3e59be3dc","19","No"
"0x3aed0587733a61d748bb2ed222293962a36ddbdc","19","No"
"0xbad15f6d8e8cb9ff162b9c693ad649f10991720b","18","No"
"0x89f045fd86cc95fbc6730df1ea68be967c35ace7","16","No"
"0x2b22d3a7767fccd8873b0157c934c4c6f396d145","16","No"
"0x6138a206b7df363995f454234f3f7efae93d7e6c","16","No"
"0x7c019f256ff988bd3f2bcf88434a15ad3441997a","15","No"
"0xab6ca2017548a170699890214bfd66583a0c1754","15","No"
"0x16a4dc4a6f7cfbd1ab99d13abbdd5bc9dc002152","15","No"
"0xa8a51ad712215449d125cba1dc215910df1887fc","15","No"
"0xbe683af82bf42281eaf4733c568dd873e5c7959a","15","No"
"0x86b249c3afbfe78223259ccf03d461e5416eaea8","15","No"
"0xdd4640ec4c1a03ea3ab30e3c87aa76a85cb5f559","15","No"
"0xc4f4f93773a08cbd3c0575426b38cd936bffc83a","14","No"
"0xd95568957e1e37a88434d384dc66bfb906ac1ac0","14","No"
"0x9f5c28da8f8622d36dc0f596142d66bb1512bab5","14","No"
"0xcdb47dcb5ea1aa04e5a6e6f8803252341cb0a485","14","No"
"0xb1346e85103501a5259b3da24fef31eb54667dd7","14","No"
"0xfbaa56d3f79800a5d9a75fa48e7299cc53906785","14","No"
"0xfe29ac70f3d681cf732e30b97a61f37d4aa47a59","14","No"
"0x94ce6dc60c75a6d6ad971695b7306f83eee03a69","14","No"
"0x1df3bf94e82aad91718271a33c10eb2d5cb3fcf2","14","No"
"0x2364bff8f3be4c72828ccad3ba188adc2ee87a7b","14","No"
"0xc7f4cdb175b1885e95b8f49ccbbd3f929ab7d1ba","13","No"
"0x07ec2140b69fb661e09905efb8729050e6d15c2d","13","No"
"0xc0130dc92ed0ad39207019bdc1272b71e5e3bfe1","13","No"
"0xc2380ded7219198f5195117c395d18c2b1ed50a3","13","No"
"0xd82724a01bce06bbc3face916bd14b5b06ef59bd","13","No"
"0xed9b53a3434c284c6cf42a709017a889ef701110","13","No"
"0x288a1079ca51c64399e69aa841856c3f56522613","13","No"
"0x69abdd95007360be246771e964ce8691919fcbd6","13","No"
"0x65f6b712f3dd43a403dec76e92bc285ed39bff04","13","No"
"0xbf59e40112157017b69be5734f8c702dcbd73336","12","No"
"0x8bb69d933b031d541613ca5886123ca9572c5e82","12","No"
"0x27db134012676a0542c667c610920e269afe89b9","12","No"
"0x26fc0dea5639aac304377143680c951422d5870f","12","No"
"0xd5f21271746ba34afa47b42d8e549c3ba15b9601","12","No"
"0x653db190fe48988a899c0ec08c9f5424d251d1d4","12","No"
"0x1346108353aea8559a11189e9d381ad6d02a86de","12","No"
"0x08f70056654c86a3b4b2f85f7be708731a4a8537","12","No"
"0xb082912d3684a3c69378c1bff77912d84253766f","12","No"
"0x84aba93703d0fe2daa6d5dfe4364660e66c45c78","11","No"
"0xf296178d553c8ec21a2fbd2c5dda8ca9ac905a00","11","No"
"0x91ad29696ab788f2b58cb7e812dde6b8a16a0251","11","No"
"0xd2eb9a7f25ac721aaca445d51bf474a8ed6019c6","11","No"
"0xbe5605aa85b55970c818a2fa323dd22c372e3e35","11","No"
"0xf082ad6e26bc7d487a0c6acce1d88a754513f21f","11","No"
"0x3d27b577b7c2388964a7e1a397f96e913b0d48e7","11","No"
"0x6937a767422c879a90ccb1765c0370431a87f70a","10","No"
"0xa6a5cd02e5c9cc822ec2e6b11e5f5682e94c2d7e","10","No"
"0x67a49a456bc5d72f8670dda8bd8efa83c8691e01","10","No"
"0x33e5f7e067b4d1ea1108745defe1e0b03a3964ef","10","No"
"0xe617dff074ede8a62c5b493875b528f328f4e970","10","No"
"0xe971e45db57eb8ca8aa2bb2dc6604afd5ea1a1d6","10","No"
"0x6a6eca4c6c6550302f2a6743c0c9541c89e6f147","10","No"
"0x34b695974be06dc569188b737f723d936af0a931","10","No"
"0xb8b6910ed0cf70f92c9a6327838dad479302e7ad","10","No"
"0x57740edae6676d467f0552bb9918bea711671396","10","No"
"0x7b66d27825cd8fd2d9748221d7e06c10072b6e36","10","No"
"0xf3ce9bb53e5ee50d9533635ff90403242cf7d639","10","No"
"0x665518bc51fa25271554577beed45f126ae80ec0","10","No"
"0x0b4f91630d3e23d8cfd168e81d1ce59af5229e2f","10","No"
"0xcc288caa63b8ea8c551fd45368ea5da21c831cd6","10","No"
"0x9f4f78a6c4a5e6f8afa81631b9120ae3c831b494","10","No"
