"HolderAddress","Quantity","PendingBalanceUpdate"
"0x487b7a29fea0462024c25d9de3e20e8b86de7730","1376","No"
"0x5ddb2ca013ebe1c0f2f9ab8ad3d3d4bccdb66b35","1285","No"
"0xdf92f59b712cc0de16cf6cedd3fc3e03e6ea6e95","629","No"
"0x41fd3dc049f8c1ac6670de119698d3488017c0b6","123","No"
"0x14ae8100ea85a11bbb36578f83ab1b5c1cfdd61c","100","No"
"0xb3c64a8318131802c2d77cceb9af7e5412196397","68","No"
"0x52005842464a2c064d105a2026989bb1e84f7669","56","No"
"0xb30307f5a60e70f63dd348aa5b37f8342dcb339c","56","No"
"0xb74d5f0a81ce99ac1857133e489bc2b4954935ff","51","No"
"0xc697be0b5b82284391a878b226e2f9afc6b94710","46","No"
"0xc6a7463a7ee700d035aff7bfd1ee198d680a4164","46","No"
"0x429237a04f9ecd9cd640bee5048f7cb9efe94001","43","No"
"0x7db83cff07dcb8c98d7f6f104ee1f6a7cdda7717","41","No"
"0xf47588a5a54a0a2a1de1863a88a120bbc0b4b777","38","No"
"0x011ea68c15f4a8316da45c1e7844311cdd0ba149","38","No"
"0x7cc696eeb48dc6acee89447168302a90c116bc34","37","No"
"0x905d13367f3bb940072a133c81563f1b1a6779ad","35","No"
"0xb1c72fee77254725d365be0f9cc1667f94ee7967","34","No"
"0x131bb3f2725ae092d0f5b7804060127216b9c522","34","No"
"0x3cd3bf7db26df10ff229fe8f8650bb9f8d05f103","33","No"
"0x42cf0da72068fc29407d823f628291d4542d5859","33","No"
"0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","32","No"
"0x7167d2813fcf7e9fb6cf03ae1c2ce4115e8f38cb","32","No"
"0x47d777f21c4a945732afcb5fd3aceb7df94f3eab","31","No"
"0x89d7007b1855ed9c15e9bbf3734ff10cb082d176","30","No"
"0xcf8b4de779c0c55b10986b62c4c1f970daf34a5b","30","No"
"0x64640d42d5c0c6298be2abd801a339251b8a1f20","30","No"
"0xd6704486175e17e752c84448a7aa2b3b1f4e799f","28","No"
"0xc9990f11815498dc60c0d3415fe22f5192d2a9d8","27","No"
"0x651664bcdb4daffb296bd248cbc0c57595d4f9e1","27","No"
"0x26153ca3a54b0c54aeeeff9f2de50262af620118","26","No"
"0x9844b0ba061b8635f60ccaecc28e13aa42271fde","26","No"
"0xf8ce9f1bd06c7559ff45336d55b1c9de46ce019d","25","No"
"0xe81ccab76718ac222c8c9f2d19197c9d39e9fca5","25","No"
"0x39baf442d75d423c864f1fbab92d2d9013c7f242","25","No"
"0x8b3671174c8fd34c9f88c3c54bdb5f312eeb43bb","24","No"
"0x18b4ddab23483770af0b105e21145dfdaa047ab5","23","No"
"0xb814e808e2a541e67327eac26f706b5534891778","23","No"
"0x8d3ca30c85ba842c63e9c3271e51fca9937ffab8","22","No"
"0x7f2ca521994a500dfde17f0fcaebe14930e12d79","22","No"
"0x247caf4a0ca130268201a00b794a326f9dbebf86","22","No"
"0x5bfdf0cfc4ade055f4aa63c31d3b2558e3a5fd80","20","No"
"0x7b2ad6af37be6a77c95556d9453e4877b6a8437d","20","No"
"0x50664ede715e131f584d3e7eaabd7818bb20a068","20","No"
"0xbc1b89612b8c8e006929197569818e785e427bfb","20","No"
"0xb716fff9edaa5239dc78c22f11e5c4140e674920","19","No"
"0x6f693ba02a24d101f7da2cd218bbad8fa919b4c3","19","No"
"0x88fc4d8e54e613ea820dbe62e8ca43a5364a833e","19","No"
"0xd0b12702cefa72c045febff6de0a1ed09e30f05e","18","No"
"0x613df37e02f4e7cd2ba5262b051640e7e7347cbb","18","No"
"0xa1fdfa0a7bbd68f01563df802c2efe56788319e8","18","No"
"0xd64429efaf6ddce591b04b45c6f3411443f0411e","18","No"
"0xb0a2e15bc4943c0bdd6e2829a29b82bd88b22415","18","No"
"0xbc7b2461bfaa2fb47bd8f632d0c797c3bfd93b93","18","No"
"0x83b4472042405c08f3749bdc12229a05ca8bb6c8","18","No"
"0x5a795f96e8d437dfe7d23aded316e02fe5d6f048","18","No"
"0xd09f05d7205a3fa86277594cc97e6f40ba252a36","17","No"
"0x9626d03a7aec06616fdc2442dc27ff10ef2654e9","17","No"
"0x230fced7feaed9dffc256b93b8f0c9195a743c89","16","No"
"0xd88d4f99adc42a57e5949c94fdd984f43811f344","16","No"
"0x230a1d8db06d3b088e166c69ca433ba8a8c3b105","16","No"
"0xa551424f18c9b7536d64a48122fd58c619b7ca2a","15","No"
"0xb290a04dabe623c6a136d0be02f9ff718f9636fa","15","No"
"0x7c7d43ae0b93da0ca80ea7ce4558c2010c780222","15","No"
"0x1a186ea9a071ddf87cbb7dc13c9280017c99c648","15","No"
"0x33678e563e130ed39cfd7c122dda3c7c8a3a1465","14","No"
"0xd9524b4ef7fa85b09aa12463221750da2adc76b8","14","No"
"0x39188feab56e9cfd99ea045a6c62aa7b880a51a9","13","No"
"0x4c37e0b8e35a64c5d0119c7ec4d3267508f59af3","13","No"
"0xc37fb6ce766c486ab03db2df8cfe425caaf6d541","13","No"
"0xcd4772ca8fe09fb35745604ece4b8fdfb74bdf95","13","No"
"0x06d23863cb40a85eaac754e14b7f2ceef8447ad6","13","No"
"0x078ad2aa3b4527e4996d087906b2a3da51bba122","12","No"
"0x860ae585009bc4d04430b787cad6d5a62400787c","12","No"
"0x4e064ddcc82194c12c7ff5712a6e1938aee9abe8","12","No"
"0x32dd5e2699adcf5d89412bbfddf4c55edf6b6b45","12","No"
"0x7adcf1dc63e59d50f37c27251f22a26ee319f282","12","No"
"0x18d8b65f80454a74491a1265736a574973d9c781","12","No"
"0x8b82f623bcf9ae73e372d36f37e385b25052b856","12","No"
"0xbb20d7fb3cf15f5db693cb23f3eac76f74e0e1ff","12","No"
