"HolderAddress","Quantity","PendingBalanceUpdate"
"0xb23cb8c5b52f87b95f838e9f6fcbafba0ae86198","122","No"
"0x7f931ec7fab3abf3a17a669f55d85bb6516c7e08","120","No"
"0x072fdba6179500b79476108eebc7e01301916f3d","116","No"
"0x1b523dc90a79cf5ee5d095825e586e33780f7188","109","No"
"0x5c9e034967af745c96739bc63c5fa9bc402e3529","103","No"
"0xdf150a3aa0272a84077badf8542744460f065d1d","101","No"
"0x3494b144d355127ce014a9adfadab356af369160","100","No"
"0xdaef4f083631febac8a7628e173ed1a77761bcbb","90","No"
"0x42d2b0492d9773c4857ae1dd42b5550394d2a901","85","No"
"0xa6e2dc44418f5ad213c86db4dbb203a59d13c49f","78","No"
"0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53","73","No"
"0x05a8f64ffc9f1a2998940d2a16c6e2eea4a97bbd","61","No"
"0xca4ea6117b1fc94f6ab0ee722c55996c0da6c989","61","No"
"0x8df0f77a3dd63a5cd232dc1f8e4e055cb4115ea5","49","No"
"0x553aacf16e6496f2778d810ae37352c6342bd854","48","No"
"0x5e913389a5972c7dff4e816d3eca46c9ba0df3d5","47","No"
"0x9ece2a194063117e7122703ee1e977453142522b","46","No"
"0x9596019109b1ee95d551f52092c323d7fc72268e","45","No"
"0xcec44f7aba914ef2a98bb8e45a8f6242549a842b","43","No"
"0x8a08e3ce6ced24d376a13c544e45d4dda02fafea","42","No"
"0x0861009d3a25ff9b7becc6fd53b8a534d4792846","42","No"
"0x1ad60130a2528c6f73a8c6e50758532949627dfd","42","No"
"0xf8c75c5e9ec6875c57c0dbc30b59934b37908c4e","41","No"
"0x270e188754ca5eda56b9cf1566d891b2e1fea89f","41","No"
"0xc8b5ca87ac94518fde7fa3f0c90233dbe993753e","40","No"
"0x97916e27632ec5f1f4c549ba7bf4c8850344a32b","39","No"
"0xa897afd4c850ce6350328b68ad69b8afa02b87c4","39","No"
"0xf1bbe73f516ba9590a24f44a3aa15d80e028c4c9","39","No"
"0xd5f56d271ca4a1225214ec51d8da02798a3099b9","37","No"
"0x6d27f86ab209513904f6c2cb88bbca96227f5597","36","No"
"0x8894f85bab60b157e49f481367573b4e24069a83","36","No"
"0x5cf9f2b750ccafe307db77a927a699462a6bb652","35","No"
"0x8252df1d8b29057d1afe3062bf5a64d503152bc8","35","No"
"0x828c5030558428af00ad1715db9287344bff6563","35","No"
"0xe10c736e4cc98156006d2ed6e26f46b67c3bfaab","35","No"
"0x2446d947fa0b33a71bb3264b7420c63b780d8810","33","No"
"0x647fd787f7191a045c7783e63dd239eeabff4ebc","33","No"
"0x8136c5f496577855386502276fe5c81c7254cc0f","32","No"
"0x3559b5ee5dd2bfb1b742a4d91efe0fa1c88461c1","31","No"
"0x89bde316a5aa59d9995fc82b217308abae60257c","31","No"
"0x85e597ef287cfcdef75463a37100070f92eefe39","30","No"
"0xa938ac3836dd514a99b3d43193290a034e23e971","29","No"
"0x6536590e019cf82355366483f90dc56d2cbc00ba","28","No"
"0xef21d6b89f92ed9900537fe61463f032ab460ebe","28","No"
"0xcf9799f5292bf594d1716e941c67bf77c29e1a8b","27","No"
"0x9f5a0247c5483b75564eea69c06ca84f0f11df11","27","No"
"0x72a2d96f0ea7a0f3b07cb83e7ecc003dcfac727c","26","No"
"0xbc189ba38441c465f748746b12f8c87bb8eca61b","25","No"
"0xffffffff7a5cb56bbccb9dfaff17bb2b26a3d71c","25","No"
"0x7e9f74ecfa5054b8672db762a2cb977379f33628","25","No"
"0xd2840c5de424e67b9d872bb04f8f131ae0990749","24","No"
"0x97bf435a9cd1b59d3786ebcf0fe2dd710c75bda8","24","No"
"0xc5709b5f31e5d55bd3d7fa9dcbb2a3ccbf965013","23","No"
"0x0f649a24c5499f79cc4d7ad754b3799cb4863d05","23","No"
"0x720d330816afd75a72e012f8d669a19918483375","22","No"
"0x52e00bd807cbd4b599e597acde5ede69f1aaedc8","22","No"
"0xf65a54f14645492e7a196644ea2cd31aa4d34cc8","22","No"
"0x33f793b2ce654aa895649d3db82824ed037fd4d1","22","No"
"0x58791b7d2cfc8310f7d2032b99b3e9dffaae4f17","21","No"
"0x177cedede56c25174823424bec382df16bb03596","21","No"
"0x0c90a9d2b0f573c21c499ddac720e2c6e2899f7c","21","No"
"0x93c2d261f937ed79572f2474a96d5635c2d9f0fd","21","No"
"0x3c3ba2c90d41b84e15c84f4c210c717b770a4402","21","No"
"0xf1b6ae52d9cd81445ce718ef5fc9a17a40498817","21","No"
"0x997bcb2b1c96daee22d257dc2c376bb797e60e28","20","No"
"0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff","20","No"
"0xd132d1cb6cb363ce4f8a5351573cbbbf96dcf17e","20","No"
"0x87e954c83234c8790c64c6a263437b92103444ab","20","No"
"0x45b180d94a54f2b40c67b7a7c66738cca5390ba1","20","No"
"0x0409b454db103199a9aee027f307b6a1cb830120","20","No"
"0xc2070a0d9d41bf4545a9f13b7358070bc244a635","20","No"
"0x2daf46ea988c806ce1991bfadded429efc0f1e9f","19","No"
"0x2b3d5cdfa0c5db68f952ed39ea767fe4eae9540d","19","No"
"0x8b7308faf4b79f96b2689fab9570c80f375f6fbc","19","No"
"0xf97f757ed3aa1ef705f2957698a2b3b2cf2dcebb","18","No"
"0x8c0a11eb047c1097c821c159b8e0c2c5f37f81bf","18","No"
"0x8ad272ac86c6c88683d9a60eb8ed57e6c304bb0c","18","No"
"0xe3e182bc39951f99af86d8cd0c42a4b7c4cd93f7","18","No"
"0xbc1f2c7283efff6910db4fcc41fab9ed45526b6b","18","No"
"0xcd4ddf2aed875248d6d586b57146858a71eafc02","18","No"
