"HolderAddress","Quantity","PendingBalanceUpdate"
"0x0008d343091ef8bd3efa730f6aae5a26a285c7a2","145","No"
"0x4b66a2a43ad725485306e3213dbbc89c5010edc6","128","No"
"0xe44249550d8a03737f185e054a686e55577f3840","114","No"
"0xb804f9a8da53141b1b6d18ac5da9436febdc7298","99","No"
"0x3baa2abf45a8146eea9da9c4b0d1a58f22238525","83","No"
"0x5921a05a34b5fb06f73ac502bd8624c858456862","76","No"
"0x9ad85d7c0f7eff3d0718c3a3a032557558f7048b","71","No"
"0x886478d3cf9581b624cb35b5446693fc8a58b787","70","No"
"0x0abb75f676d0c131c04324dd98150a39213edd41","68","No"
"0xc99df6b7a5130dce61ba98614a2457daa8d92d1c","59","No"
"0x6a09e27f6d2e546be4fca60191d9782b69f43f83","55","No"
"0x41f28a84698d20a95966adb27214b732155df3a9","51","No"
"0x996e1d4ce3e1e558889832832004b2466153adbe","47","No"
"0xcca11a8edb05d64a654092e9551f9122d70ea80e","46","No"
"0xd83c7bced50ba86f1c1fbf29abba278e3659f72a","44","No"
"0x72156e05c53c9c9a66cad4baa9b1f3ed1aaac2ee","44","No"
"0x2f3a54bf279d3cdc31dd363e380c69346efd2d9d","36","No"
"0x6cc1a61cd1c31fcf83810a37577f2889148ec035","36","No"
"0x5b3ff52ee60cb15eea852edc652c7c087a119e5a","36","No"
"0xaf920a327bf7b345b58850546b443b1a329993a9","34","No"
"0xd5a9c4a92dde274e126f82b215fccb511147cd8e","33","No"
"0xbac3c4c61261423f15c237a46788a062aed4e80a","31","No"
"0xa51101a1db85fdfa01edcc0fe9766d04a719b28a","31","No"
"0x1c71122bb75c6ceee7dfe50a45dc571f784f5cab","30","No"
"0xee402489d83e2b22d496910f8c810d35a3ad7b25","30","No"
"0xaf4241849b9d665bc4cae8c0cf36645426f0e9ef","29","No"
"0xec18dee817e8b9d45d06edbacc2ddec80ded426d","28","No"
"0xbf6dd542e01ea3439a7e2eb1c057c2e4c92f33b5","28","No"
"0x164085f0db75811e4a67f93e4a54655eb05ae4bf","27","No"
"0x633ee4f45976c5bb3c5e29da3df74dffdf67d2a9","26","No"
