"HolderAddress","Quantity","PendingBalanceUpdate"
"0xfc48426da0338735945badef273736ccff53a358","287","No"
"0x396eec3f24e435571c3b700d7d1f39e2b3b39024","182","No"
"0xb09b5d8c221e4e1bfa4c2a947c501212a48d097f","123","No"
"0x57a1fcc7c7f7d253414a85ef4658b5c68dc3d63b","95","No"
"0x2a31e667dfbbfc6d14dd39357a2d62e2834a5c5a","90","No"
"0x880644ddf208e471c6f2230d31f9027578fa6fcc","69","No"
"0x3b0e003793011c012d8261b0aafd993eab01f2cf","68","No"
"0x8691fdd1923e99ec8e43df85c4b969205a96338a","65","No"
"0x919d69966ff3d88d0144dce15a7821596d973436","59","No"
"0x1d3643399e5534dd49f2b04f2f0615153bd209fd","54","No"
"0xad074143336068a5b491aecd2f105cd2fed99e5e","49","No"
"0x31fe8439f34ed04514288a6f0f19f26c647cd6ad","47","No"
"0x6bf97f2534be2242ddb3a29bfb24d498212dcded","46","No"
"0xcb76e303fb99849349a13eb8642bebed2d84eca6","38","No"
"0x9c467f50421b8956b7d5ef5cbf02f8031a51e0f7","35","No"
"0x2e511a7610cf63811894330125d82f637f066616","35","No"
"0xb104371d5a2680fb0d47ea9a3aa2348392454186","34","No"
"0x69698fc033706249b8f3f04832fcf1453802d0c8","34","No"
"0xf8f327e4c1cbcb0ef014031b84069b9d3579f42d","33","No"
"0x53a3dc78694c1ae7ff1e36c9b9a97f10a67ac1bb","32","No"
"0x59957e6b58dd78e9d4ec60a144cc8531b8a5409d","28","No"
"0xd3729b43e91e60514722c74474401623d57f2442","26","No"
"0xea39c551834d07ee2ee87f1ceff843c308e089af","25","No"
"0x828c5030558428af00ad1715db9287344bff6563","25","No"
"0x975bd5648e60b9ee175246834fcdc6efe2e1a253","25","No"
"0x1b1a300ab61e8d408adead95055b21bb758bae66","24","No"
"0x7675cf4abb1a19f7bd5ed23d132f9dffa0c9587d","23","No"
"0x37db750bd1642a4c7a9b53c9e0167d43c1f568f1","23","No"
"0xa44b68fc590a2fd1cf48f2689a8aa2c8b62d2261","23","No"
"0x283055eadc6f042b3be83154e072d55f55c0eff1","22","No"
"0x643907aae09ee724bf893fc4e6752f9f5efd2fb8","22","No"
"0x9d4c1c518442ad9eb23cb79a4792d508b49c81af","21","No"
"0x67bbba99b43446b368200ceee5fd2808a7f80711","18","No"
"0x3a92b1c299f1bdc57c94efe5d41b646a4bee13ef","18","No"
"0x71be3acbbeb6b2c3c92871776dc788f01f1e0d38","18","No"
"0x26cfad894cf903a911a355814a620f76c8488c16","18","No"
"0x6c7496cf61b2b7c7b364a4d2c39ea6aa36dfca4b","18","No"
"0x1d022cb8c29bde3aeb1f093145a0b033d65c8712","17","No"
"0x3d606dd3a1b8e2519f9f955439e52184d4c80fa3","17","No"
"0xe5c3b29c53e1d6475b0e995dc12296254f2e8c0e","16","No"
"0xcef5109cd1adc9451162732d68d739fe0242ab3a","16","No"
"0x1583b0c3a4e2a53f8f712579944373b5f28739ae","15","No"
"0xe5ee2b9d5320f2d1492e16567f36b578372b3d9f","15","No"
"0xa2140e9c5ea863da58521737e566d27087e198c9","15","No"
"0x7fd8dda713fca8033f69daf1ef112741401c90b8","15","No"
"0xe337a9212e15be28148a4188ddca858956ad19f4","15","No"
"0xa61895d69dbd67966799c7689e15f8e689ba40db","15","No"
"0xa10e07b70f7a433fd820c24ce38ea886479be232","14","No"
"0x0ddaa6ba76e60ca9a898f2a64f322214480c9a57","14","No"
"0x89d988a9d8c0936f35daf8e66a01abb1dcf402c8","13","No"
"0xe05adcb63a66e6e590961133694a382936c85d9d","13","No"
"0xade44991d931ca62e4b56f59a7a8e9160067f48a","13","No"
"0x708ed7b90dce15a1b479f27539a3801cc70d9268","13","No"
"0xb0cb9cfac8d3d601db2df3fa80c5060955b5fd00","13","No"
"0xcdc22d169428f448c396ba157b07d30429fbace6","13","No"
"0x9b20990d93e30ef02ab2f1cce42aeae7a221b75b","12","No"
"0x557c60995797fa7b47be105227a2e46148d85750","12","No"
"0xcc0bcb3ea8c819d3ce70dd92a4a1ef6d7b295512","12","No"
"0xda9f53fe532e595943799a2cb2cc484d89bc39cf","12","No"
"0x62fd0c5fc70d7a0d990206e18acd7b9871504dc7","12","No"
"0x40b060a0ac95db3d5211b687511632b46c5d3bb7","12","No"
"0x7e463947744ecaf998598d9a5d0b5b2d4a2af203","12","No"
"0xb995fb382edbd434099a5ed1da056fe859f87835","12","No"
"0x1259ed47741577bd1233a45e1bd391bb4e1d4554","12","No"
"0xbbc3be8abeb14885b0b05ec7b0f4e85f5439a770","12","No"
"0xcafe5296068cc23fbd41730da7644b237a9b0983","11","No"
"0x57159c170f61780f155c552b79165689a2a80c3f","11","No"
"0x631d96ce9876d48cd2300473ff4124f5e0e084e8","11","No"
"0xaa48741ec38f1c18679387d1bb944d3d6c8173b4","11","No"
"0xd93fd467cafd79b6c7519af2d95be7c2b76ca0e9","11","No"
"0xcac0be817a3eb19b98eafbeb3d08a9bd4c5cbddb","11","No"
"0xc438fc7ff0c3cce806c60740818dfd39e88c9b97","10","No"
"0xa46425571f389ce2ae50e24cc7efaa074adb972f","10","No"
"0x34978faf3a9f469da7248d1365ddf69ac099588c","10","No"
"0xea0ed16746257eb2bc11de2fefd63cdeece23a98","10","No"
"0x955ee10237baacb60761fea5be2871acc133697b","10","No"
"0x0787e33c8b436eb845d0f329b168d3e25339f74e","10","No"
"0xb11cb1822ca565fefd3fd2d53eaa8784b2f5fa5d","10","No"
"0x2fbf7f158809bc98cb8d2e4817c56df14c74651e","10","No"
"0x5f10e844724e3e247841a697c89824d72ed83990","10","No"
"0xaf078412a621f552d7609f021b48b7eaee059e0f","10","No"
"0x3e7d1b6527b3b3555aaf149935f2d029abf843d7","10","No"
"0x150348d01b346bd2247a60f41d4940b6001660b6","10","No"
"0x4ecb8918a19b8019b7e9c067c903b1de6a236775","9","No"
"0x91dbb95169173769722e6f01231a9f52227e644a","9","No"
"0x819884634b84b3f9b71abde27ad1c599d8327176","9","No"
"0xd49d7f4b390169c80f13a828198fdf6adb7aa206","9","No"
"0xbe2d683912567683a88c37f7df3590421252877b","9","No"
"0x44809ecebed746ae535299b6e8297e865bf81b01","9","No"
"0xecf662eba7cfa3f34ffcbeec099cbb9f6a9cddcc","9","No"
"0x023192b16a986dc4e5cb76c1ec2f4d2de4d08462","8","No"
"0xabe7b4d31cd2991b8f6f2fc5545cfeb1d14e9ec5","8","No"
"0xf9dbd46ec67dad36794fe788c29147e00fc25fe7","8","No"
"0x0746b673f6ef9f478f8d808d94a572d25d29bc03","8","No"
"0x99ba946777cb8bcafb0141b0f6c577175414fbbc","8","No"
"0x17b76551ff8d26d692da2b9ba02dea9d3ecdde55","8","No"
"0xa928e40011d5991f9ea478c7532807caf94d6859","8","No"
"0x106b0666140bd18a31bdabccb9221bc08b4337dc","8","No"
"0xb4ef0102e2852411a42d145757c3df5815b275e5","8","No"
"0x113c6e8d6acb173da6ced275c00aaead1fa831de","8","No"
"0xf50d59ebf90951b1659bd11339e533f09ef864f8","8","No"
"0x84428a30234712da09c639847401b7a84ee30a65","8","No"
"0xa3af1c6a086ed582b38a32a6f9c6898de2cdf218","8","No"
