"HolderAddress","Quantity","PendingBalanceUpdate"
"0x804298f4b87b011330fb853254ebe0cb84c77a63","68","No"
"0x7385487fe29e074cfc5e9997d807b6d808b754e2","60","No"
"0x49ca963ef75bceba8e4a5f4ceab5fd326bef6123","59","No"
"0x800a5c66d7d2c88a5457125ecaf62d01331e6f8d","52","No"
"0x0ff193104e333c3554264222d00aadf37e808090","48","No"
"0x4430484943695bd1d88c9c12cc55434cc8c6b046","40","No"
"0x26cfad894cf903a911a355814a620f76c8488c16","35","No"
"0x2bb387792e415f3da1ff0a7e8792f2da60d6186d","33","No"
"0xf5c7205d70259805a9a0bc41b40a030334199322","33","No"
"0x0aa5f7a10ae34056b1031718a20ca90b67989ce1","32","No"
"0x5f6a55863d89e89dc8c1f1e16b4e3d86dacff1da","32","No"
"0xc7a024df387621e7065a549fd643367b85c8d2aa","31","No"
"0x5e6e89e772173ab3dd9a87cae665800f2b4b549e","31","No"
"0xe0f5b560812977114eb5e002be81e20e827096fd","31","No"
"0x4516bc9d4dd1e7951df2030519b0a33365fe89ef","31","No"
"0xe356680979dd0cace2357159d684f1c69e704a73","30","No"
"0x02aeb12821c2c18a61373b1931de24b0c4f2e7f0","30","No"
"0x07834e0a49149811b7763849a5dc4b6882fe0da9","30","No"
"0xafe76886fa474ef4e1e29a780a2dcc41da8e3e83","30","No"
"0xf935d912c64f269155b15617a4808d7062a922ba","30","No"
"0x8f74d41d862ff93bd22dc0adf8a35fb452efe734","29","No"
"0x725a70b1847d1bf3fbb7dcaf43880a9343f308be","28","No"
"0xcf0fdf0e8be94065927a4b04627f1bbede9d838a","28","No"
"0x837236587c1e4f8073b1f40893fae81f17595aae","28","No"
"0x185fe9f3102f746a7470c5d5bcefc2fae6e9e3fd","28","No"
"0xd19ab7dd9d63d2a088ed8fb13f23a935a2786427","27","No"
"0x93e473c3efee571fe56211195449b27f8f0acb7d","27","No"
"0xbe456d5a90e5fd51b26d0c864f28a37174d20c93","27","No"
"0x190ef060e909c26e6c65275db41301f5ccb37e34","27","No"
"0xcab6468ca03c2e076288cc24ed5ffc401cb9bcf6","27","No"
"0x76a3d2d3bc7a902411d8d0497b41c70fcaf01f7c","27","No"
"0x6c48abc33ac232c1c5560285bbf63e9125944aac","27","No"
"0x6be4ce49ccab9b252b892597b9c568144c08714a","26","No"
"0x8d44bb7001d613f20cbb4a3931e1126ecd9220f8","26","No"
"0x7ef0818c96d5610bdb4bf7a64b3f0f38c73d0f0e","26","No"
"0x88a679ddf5ed7d071ad35c9c924c666dc3a07d73","26","No"
"0x559dccec80c6b9317135b1202dd3737545304771","26","No"
"0x056f154c822cb374508cd318038c3d1e1230c377","26","No"
"0xbfcf42ef3102de2c90dbf3d04a0cce90edda6e3f","26","No"
"0xf11ee1be6f60d66d4b10581c42002e72d9bbbbb7","26","No"
"0xde6e359214b729a07adc514c67e9c5b728ccecb3","26","No"
"0x9fad62e00ba5ab23c0cfa8fe6aac0751d2028559","26","No"
"0xe7bd319c0ca15732eea15953320b901dfbdd3ea9","26","No"
"0xf7986b4e8f3242f4038215eb3f53641ad675fd46","26","No"
"0x3efc80b5e8913101ced7c34fda9e5bd93727b7bf","25","No"
"0x0574a0239c33a9c2dfa64da9ad0860fa5db4a954","25","No"
"0xc3f610c9c7c998189a579d7d32ff31e129213146","25","No"
"0xf4371c60608e186726ce9b3bc4621745ec5aa3d9","25","No"
"0x947d01ce6b4c7d0e6009432e0bfae20f919edc26","25","No"
"0xdd452a5ed584609af7865bd98a7719690c6fc4f4","25","No"
"0x1d24a18b47900f7ab1ee9976aa88c664874ea4ea","25","No"
