"HolderAddress","Quantity","PendingBalanceUpdate"
"0xd3f1364c0afd2518aefc5171827fd3f6eaf08408","120","No"
"0x072fdba6179500b79476108eebc7e01301916f3d","113","No"
"0x1ad60130a2528c6f73a8c6e50758532949627dfd","102","No"
"0x2e36247d71116b2f7d8a5832802be2f838af37f0","69","No"
"0x05a8f64ffc9f1a2998940d2a16c6e2eea4a97bbd","63","No"
"0x828c5030558428af00ad1715db9287344bff6563","56","No"
"0xc8b5ca87ac94518fde7fa3f0c90233dbe993753e","52","No"
"0xb23cb8c5b52f87b95f838e9f6fcbafba0ae86198","51","No"
"0xf1bbe73f516ba9590a24f44a3aa15d80e028c4c9","51","No"
"0x42d2b0492d9773c4857ae1dd42b5550394d2a901","49","No"
"0x9ece2a194063117e7122703ee1e977453142522b","46","No"
"0x697f522c6276811fb3f63f12a85ebcefd2ac6eb9","41","No"
"0x3c6b0ab14f9a6d77fb3b2e1df6b63a50e8c25c94","40","No"
"0xe10c736e4cc98156006d2ed6e26f46b67c3bfaab","40","No"
"0xd5f56d271ca4a1225214ec51d8da02798a3099b9","38","No"
"0x35025233e00bcda4d0e7fa785d91487d8b8ae2fb","38","No"
"0x72a2d96f0ea7a0f3b07cb83e7ecc003dcfac727c","37","No"
"0x4a10ebcfaae37c74128009e4527174e42023563b","34","No"
"0x26141f4a62f498a61ede1edaa6407525bc023144","33","No"
"0x553aacf16e6496f2778d810ae37352c6342bd854","33","No"
"0x1ba550de6ea5f878029542d9285b58183dedd06f","30","No"
"0xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53","30","No"
"0x0914bc1efed6ad75dfed2113fabe820feee0f432","29","No"
"0xd2840c5de424e67b9d872bb04f8f131ae0990749","26","No"
"0x2d4c38d80914084d90c55ae6622eb7859ea9ab64","26","No"
"0x94e0acb22dd5d4a4681b65887d626742740755b3","26","No"
"0x704eecfb4dfdbc52ef7232ca20be06a47254d3b9","25","No"
"0x270e188754ca5eda56b9cf1566d891b2e1fea89f","24","No"
"0x3c3ba2c90d41b84e15c84f4c210c717b770a4402","24","No"
"0x6d64d370b46758c4a06c6a4749b02bff1e23df3a","23","No"
"0x15ef2ffc8e6fb95ff9964ebf29affe665d343e2b","23","No"
"0xf0e7d317bd15706b99cd6df8cc42c673504ec90f","22","No"
"0xcf8590d9f95e78a3d5fd5202f40cc174d27e4289","22","No"
"0x3a03b4f726f9c225c2f4b817878ae0051aeff78e","22","No"
"0xef7d6e6796278c1bc1af2f721a75cb634f09a34b","22","No"
"0xe6d9a271bb87f565cbbce4acf351ae2efd1d37fa","22","No"
"0x031633884306abaf5d5003ca5a631aec9ef258aa","21","No"
"0x4001be1af4a041e9571ba90dfa4aa3af185159e2","21","No"
"0xe4ceaaa91a605b560601cdba95d19cbae0026d16","21","No"
"0x3559b5ee5dd2bfb1b742a4d91efe0fa1c88461c1","21","No"
"0xdd2621f9e9520c151ffb131398a51dc405a189ca","21","No"
"0x2446d947fa0b33a71bb3264b7420c63b780d8810","21","No"
"0xe69bb64b92bc856bc53aa3745124f8c855df07a6","21","No"
"0x7f84e5c1b910b6cf82473bf0284622f6b219b888","20","No"
"0x2b48baa2796ec0f98b835428070c1fac3f7f593c","20","No"
"0x52a99bd1dda1004d8e792d4b75e07d3bfe289b1a","20","No"
"0xbe07a92e1094404ad41740861f9fadac26e93884","20","No"
"0x538e71df57421ec8858a39690dc089b2c197c406","20","No"
"0xde5ff8d7867e4279dd29c362640cd6f45018665d","20","No"
"0x997bcb2b1c96daee22d257dc2c376bb797e60e28","19","No"
"0xdaef4f083631febac8a7628e173ed1a77761bcbb","19","No"
"0xc2070a0d9d41bf4545a9f13b7358070bc244a635","19","No"
"0xd1fda43f250784fe3d66ee2c71835bbca9d4b79f","19","No"
"0xfea5e6878076d85f11142f89efd986c16767ef36","19","No"
"0x7c2223031c9c1733bbe2cefc9d47f3b2dcad3bff","18","No"
"0x2b53ba63ce6dd93f1bb2bb3245ac7631f1338366","18","No"
"0xfc602278a2a563cf89f5bde1364577517dc215d6","18","No"
"0xa96e965462d5e01af8a0e07266a56fdf47fabddd","18","No"
"0x1e8aa6ad676c1e13cc6c323b6beff3b07507152b","18","No"
"0x4cffe1fea2b6918f6d9596b8274d0d859ab1699e","17","No"
"0x7d112b3216455499f848ad9371df0667a0d87eb6","17","No"
"0x6d27f86ab209513904f6c2cb88bbca96227f5597","17","No"
"0xb1f2aedb2493ae882c5384ec008a771f9c4cf520","17","No"
"0xf65a54f14645492e7a196644ea2cd31aa4d34cc8","17","No"
