"HolderAddress","Quantity","PendingBalanceUpdate"
"0x69f1582eec3429e8f29a56c957875db2171851e6","21","No"
"0xbc428401a841ea3ab2058a76d41d0f3b7c74755b","21","No"
"0x013ca029ba7db937008758f59e9cf32d0ebbd720","18","No"
"0xb7af436ed99654fae6c6faa6c627ba598d3a2bce","15","No"
"0x78af47e0e9bcb8c24e27b837b638a241b28d4619","14","No"
"0xad83ffc1df69212c45f2518d8446af139de0f8d2","13","No"
"0xe72040e2c1ad97f45390cb68dbe834deef070cde","12","No"
"0x6353cc3c3898bab604bba392c77a66ebe0e92fa5","10","No"
"0x67079eb07873f4e5ae7ecbedcd7b092d3b79af29","10","No"
"0xd197d72af51969dcb6bbf59622bea6a6ff6c9b3b","10","No"
"0x1cd75d18bdd26bfe906be4d63c8341474e6a76d6","9","No"
"0x704e0bf0dde8a915aa2dac6d432c650d63275713","9","No"
"0x0e0dcd1cc4435fdbd97f8d5e6cd602bc93eb3bf4","8","No"
"0x17fd7cc8202765d361171ea8aee1a01f0826d5b0","8","No"
"0x6600de48596b9036703a451df2f320d262698108","8","No"
"0xdf967c1a2cbe28eecfd7034cea7d52706d02e424","8","No"
"0x4cf22e6c6c4e4ffb4b5b86e5b0fc5c6fa5dab62d","7","No"
"0x550caa9c795f5946b17d7ecfa45f158d52b4b061","7","No"
"0x6dd74e748c96f9157b175d36e7eaf1affe1e25cc","7","No"
"0x9addbb648ece701a42a06e25f5ef5410a9083745","7","No"
"0x090013b7e91bce5c5ce8e2651d36f216dce55604","6","No"
"0x1371ccdad195ea31024a9916494193fc04b76548","6","No"
"0x39340a2815802ce3f75c51de1014fc87927172ae","6","No"
"0x3e6a203ab73c4b35be1f65461d88fb21de26446e","6","No"
"0x6b3fa94ce1dd458f417e29bcd62f4149d8729114","6","No"
"0x6c840f56fabe1f0b755c120310336c956d7a1a26","6","No"
"0x7230a0f2aa6ce3bc3e3ece6ff4bcaf231507cf58","6","No"
