"HolderAddress","Quantity","PendingBalanceUpdate"
"0x4f2769e87c7d96ed9ca72084845ee05e7de5dda2","8","No"
"0x0448cd0bfe0dc0bb164c027d8595509237e2dbe7","5","No"
"0xa5795a60f043d654cb7867edf6cfe7526dc52aaa","5","No"
"0x54e5e90a6679314e8339bb1ed74beab5ca19324a","4","No"
"0xc049af472eec8ce544765974c7ae88cf2b133393","4","No"
"0xcd7dad56e05c0b4fee558fd0e3c39426a2ea3609","4","No"
"0xdff71a881a17737b6942fe1542f4b88128ea57d8","4","No"
"0xefebf3c522b582ed4a5f20a588d4a8aa14416624","4","No"
"0x000000000000000000000000000000000000dead","3","No"
"0x078a325f792772d66092ecddeb0616b5f2547851","3","No"
"0x160f0eb7767af14d629b00233c9ea3e33f406345","3","No"
"0x1bcf7329a66df094012191d6266a82112c566f60","3","No"
"0x48c9fa21f6f3f88cd92ad8da0678bbd87c6a4476","3","No"
"0x626777bc628a655d97e05a112f07c8cce5d6ef2f","3","No"
"0x6a7ea8945d0cdb9b53030f63b4b26263e4478c8f","3","No"
"0x14b8cb752476af917ae831973318ad1814b622e0","2","No"
"0x29fb8f7bba0738b2b9b57dcd4fdf834d775e6833","2","No"
"0x2a934b84043022bfcd40f27c6b8715c32f13e38e","2","No"
"0x4afa1603b07124cf5558e53d763473aa111a7484","2","No"
"0x4e995fdb1737bfab55b28056e3d9aae4205eaa3e","2","No"
"0x5425dbc0e7d4fb52836857f366ffe92b24ec7146","2","No"
"0x588cf3afdfad557168d15d377757c83856e6ff12","2","No"
"0x69c5b4fae2773e4c743e992468e8180219446afe","2","No"
"0x6b8d1fe8cca24ee4bc51d40ab883900073fe0a9d","2","No"
"0x81ecc9b0281bc8f33b71d4b4a3781453f152a9b0","2","No"
"0x93a58cd08493365aeb6a346dfc679cf20e3a3f9d","2","No"
"0x94b22d97f14d6c0ea61dc035f1af602aafc1054b","2","No"
"0x97dfa8a7d0f5c29234bfc15569700c0d4fb5437f","2","No"
"0xa1f6868ac9d71984b296b209a9bb4b7fc7f4bba0","2","No"
"0xd67f5b6fb3d6ceb6f2412e1a3290bc60a1aa1e6c","2","No"
