"HolderAddress","Quantity","PendingBalanceUpdate"
"0xdf92f59b712cc0de16cf6cedd3fc3e03e6ea6e95","1967","No"
"0x3cd3bf7db26df10ff229fe8f8650bb9f8d05f103","380","No"
"0x7c7d43ae0b93da0ca80ea7ce4558c2010c780222","184","No"
"0x354547a4fcd1f4a95062cc222cbbb2ad9e674410","162","No"
"0x7167d2813fcf7e9fb6cf03ae1c2ce4115e8f38cb","125","No"
"0xaf14020d77e37634dc32d42006fb88c891ec63cc","112","No"
"0xb3c64a8318131802c2d77cceb9af7e5412196397","108","No"
"0xe81ccab76718ac222c8c9f2d19197c9d39e9fca5","77","No"
"0x9ac0b297938f0a5ddb8ef503e468d8dc58f40051","76","No"
"0xcf42a8ce625c4a09fea8859e504c8963036aedc0","72","No"
"0xb1c72fee77254725d365be0f9cc1667f94ee7967","71","No"
"0xbc7b2461bfaa2fb47bd8f632d0c797c3bfd93b93","65","No"
"0x34dceb3487614b4f357f548b4a0e58f0e7ba3d93","64","No"
"0x83b4472042405c08f3749bdc12229a05ca8bb6c8","63","No"
"0x41fd3dc049f8c1ac6670de119698d3488017c0b6","56","No"
"0xac0fd5aab36d8ac4fe3d5ad15c69dcf7ca36d6d9","55","No"
"0x575740f581038f792425670fa6bfebcc8e4dcdff","51","No"
"0x1651af560ded55ab685c03315e24020cf68e70eb","49","No"
"0x34a3adc8ccff21a9a66ddcf2c3eddad989deec97","43","No"
"0x81fb8d312aaa2b4a4343c59c1e22a3464ef460a7","35","No"
"0xa621164c4fcfe74e86093cbfa5fc84ae4991fd13","34","No"
"0xfce8bed4327cb94981fbcbcf396f41431ae14039","33","No"
"0x7cc696eeb48dc6acee89447168302a90c116bc34","28","No"
"0x3bbbcc2851b532626e073468faa35edaeabc13d3","28","No"
"0x8b3671174c8fd34c9f88c3c54bdb5f312eeb43bb","27","No"
"0xddd78e837d16c78137bcff64b7f9c9c92ba88bdc","27","No"
"0x52005842464a2c064d105a2026989bb1e84f7669","26","No"
"0x247caf4a0ca130268201a00b794a326f9dbebf86","26","No"
"0xb30307f5a60e70f63dd348aa5b37f8342dcb339c","25","No"
"0x64640d42d5c0c6298be2abd801a339251b8a1f20","25","No"
"0xc37fb6ce766c486ab03db2df8cfe425caaf6d541","25","No"
"0x131bb3f2725ae092d0f5b7804060127216b9c522","23","No"
"0x89d7007b1855ed9c15e9bbf3734ff10cb082d176","23","No"
"0x6ec30fd91a504aad948839b985c7263888b2ad68","23","No"
"0xd81be2dd1fe5e3f9aada3ffea6d64e62506edacc","23","No"
"0x7ff031f90ee0c3383c05fa6382028cd0fcd50529","22","No"
"0x7db83cff07dcb8c98d7f6f104ee1f6a7cdda7717","21","No"
"0xef8a28b8a39fb292afc471e21106eeef1985ce4c","21","No"
"0x5546e1b9fcd82351fea21712cb0cc55ed15ba958","21","No"
"0x3c51b4fdae7420a7e14998585da58e280e326916","21","No"
"0xcf8b4de779c0c55b10986b62c4c1f970daf34a5b","20","No"
"0x9844b0ba061b8635f60ccaecc28e13aa42271fde","20","No"
"0x4b68b5a0cfc1fa1a85f6b3c0db33f546b6cad57c","20","No"
"0xfdd282b6c092d57fe418ad4567c3860119252544","16","No"
"0x391d2c24f4f3c8cd44dfaf9839a2fc5ef48f464e","16","No"
"0x8b52fcb5f3192c7e65e127c0cfa7db485f5ebc94","16","No"
"0xb48494edbe22c1982d186e34fa264e6973f5c4c4","15","No"
"0x314e5699db4756138107ae7d7eeddf5708583ff5","14","No"
"0x4644a9afe25b01405b9099c32fbf123f919d4838","14","No"
"0x26153ca3a54b0c54aeeeff9f2de50262af620118","14","No"
"0xfca7c7f930f2063768aae85486ce8ef785a03635","14","No"
"0x905d13367f3bb940072a133c81563f1b1a6779ad","13","No"
"0x833aa36cd9b81fce27cb05b12b3162c127247dad","13","No"
"0x8d3ca30c85ba842c63e9c3271e51fca9937ffab8","13","No"
"0xa214c5d496e7dfa5c4dd3df5f6500b00ad746e96","13","No"
"0xbc1b89612b8c8e006929197569818e785e427bfb","12","No"
"0xbdf18ecc3325d7598dcf60b970b64357bd8c4c9f","12","No"
"0xd64429efaf6ddce591b04b45c6f3411443f0411e","12","No"
"0xd5a6c836cf90da8c3ed8880abd2730e217f2bc12","12","No"
"0x489795dc70252cf420177f6ca9a3feb2195a34dd","12","No"
"0x7103c5feff28a8e46ba155ddecfa47d43bdb3ab9","12","No"
"0xc035d0047be1496322ef6fa18e89682f0af81714","12","No"
"0x0a6b70c88a5a838e6b71c76efacdcbf76adfe74a","12","No"
"0x6353cc3c3898bab604bba392c77a66ebe0e92fa5","11","No"
"0x05b195c61f848b59c829c0c81f74fd3b1038d2ad","11","No"
"0xa1fdfa0a7bbd68f01563df802c2efe56788319e8","11","No"
"0x9f428d7306dd6ce5f1d5c512c5e3402fda94f3c9","11","No"
"0xb716fff9edaa5239dc78c22f11e5c4140e674920","11","No"
"0x5ea9681c3ab9b5739810f8b91ae65ec47de62119","11","No"
