"HolderAddress","Quantity","PendingBalanceUpdate"
"0x549afb2f9cdb90fdef7861b65c2bcf80aabbf765","110","No"
"0xb86570854f10765e849080fa0c1de0db4143d237","28","No"
"0x4e093b0272a29632428754bb9dd03df2439f0b36","14","No"
"0x3577385c7b5a52d8fba230ac88c416cd97fa3ccc","10","No"
"0xa43a11302f783942567dbba546c784d6c4665b5b","10","No"
"0xc983a07fc2873bd0270dc494b203e81fcffadbc3","10","No"
"0xddfb33dab1b1ee9b68485bbf489f8c369066ea0c","9","No"
"0x1024f0c11050ae21122f17fb0f8a8d9b9ca72d67","6","No"
"0x98e2ab7934a8039978559ad901539a200e11be2f","6","No"
"0x2b1591d72a24311a427486d80b33779f5d73c8fc","5","No"
"0x2d0028bf41625dfd9298da6589efdab72c024ff9","5","No"
"0x2d946c881d2d28b005857658de1d3a6d48438c3b","5","No"
"0x74e0f7e828434310bfce26b947d0a4c984bbe45b","5","No"
"0xaddaf99990b665d8553f08653966fa8995cc1209","5","No"
"0x06b62c6f28becf0f2adbbfc03b6bf75c7856cc05","4","No"
"0x0d43e9d9812c0d7c63c7cbe873526030307d921f","4","No"
"0x204b9c397f1ac92017534a4e87d713e9fd936671","4","No"
"0x7167d2813fcf7e9fb6cf03ae1c2ce4115e8f38cb","4","No"
"0x79782b0ae9b71cff36bb32b4ef0935fd3c190350","4","No"
"0x7f5c61dd2d492e3db6da67dc46f0823251dbb839","4","No"
"0x17e0b2afa40b10166ca06c2b03cd3be4a3534f00","3","No"
"0x295436476879c740d8ded3f7e7eb775c3807e614","3","No"
"0x3274bae1de6627f1ef567f3427986ad35d2b6e06","3","No"
"0x391d2c24f4f3c8cd44dfaf9839a2fc5ef48f464e","3","No"
"0x3dffcd2d95fae3f530cdb766c6b377600f67f62a","3","No"
"0x5af98a0508f3310369b10b4d5445b59f7d6f4c51","3","No"
"0x82b9a09a122185ac03a4a259fcdc878c2a8976aa","3","No"
"0x991f3775c81d6f8331b9a812eda34ea48a7ea76d","3","No"
"0xabe49a6bce1fc782b1ee661421e0b999762d73cf","3","No"
"0xd02865eb402c488aed4e6c9593c9d0d276ec309e","3","No"
"0xd70e6e0c52804fd755c4a57e67e7d7e40c3e1287","3","No"
"0xf1e85e8a854e78def8c165359f59e62f8ed21527","3","No"
"0xfec8d31f2e9f552330ff0d4fe9f4f40870b1295a","3","No"
"0x0e7295e7a8c11783fc82bc6b333dfd871d27c55b","2","No"
"0x10b5a6a1d1d4a086d03d9f20b558ffbed5cfadd6","2","No"
"0x1184fa9a6f73a5789c0f0d0618c31e0fe7ef459b","2","No"
"0x1a2ec0c99b6fff441727770634ea5956fe069e71","2","No"
"0x25e0e1d5fc3462fae12846ae0eaa630acddf98f2","2","No"
"0x2f6c9f1c99761142be2ad32a861a51cc46a07f25","2","No"
"0x3e189905c3f78e7cafcfbea29392c03ec171c8c3","2","No"
"0x41ba9db50d8e7bdaac43e7b7a535784532ddd802","2","No"
"0x4e1c09bc01934c11adb6bb04d93451264ffcfad5","2","No"
"0x513baace499c3cd607c54286a8324da880e4b270","2","No"
"0x519e19eac9ead404343c68224dd2a22c5c25f992","2","No"
"0x57624512927035e306dfd9431768b324f642d75f","2","No"
"0x5d20b579b6d77eefe7b41c7a86f35f6aa72caecd","2","No"
"0x5fec3b40af6ee593e2a4a77d78374c1c8e787019","2","No"
"0x5ffd8de19910efff95df729c54699aebcee8f747","2","No"
"0x60e8555d62f2740085ce72d69d2df0722031f953","2","No"
"0x688c5b80b74a6fd66a0733e83f7ff0773988e85b","2","No"
"0x6d72ae61f4dc6b56160777b56d561c06fc8dce09","2","No"
"0x77a08856b2bccae65458845695f6806d7b074136","2","No"
"0x83baaf5700d0af342166ceb1c340e386391ed8f2","2","No"
"0x8e1d3b2ef77230e018e4c3b4be2d08fad505632a","2","No"
"0x9786fc821b285e984360f5478f5e4fc804f8a1de","2","No"
"0xaff283466da0d3d6ee9bac0ef85daf3d6bc3a053","2","No"
"0xb0d031f2885a40c99bd8dc16a5a516dcfe46ed25","2","No"
"0xb3c64a8318131802c2d77cceb9af7e5412196397","2","No"
"0xd3ff6b6de549f1d37bb5e903cb0b15da7d462754","2","No"
"0xe67d102cad14caeec42f4cfc7c862b1b0d305943","2","No"
"0xf974bf0baa80e10426cf38bfb3999a8bbe80fd62","2","No"
"0x03f58f0cc44be4abc68b2df93c58514bb1196dc3","1","No"
"0x0bdcf33394e6ff57eec28e3fac572222d5648351","1","No"
"0x0d02865bd52d63b549ef2e258a2ddcef715d4e81","1","No"
"0x0e52a0a17380115a4db0f8462253c15957341b78","1","No"
"0x0ff3c045432b54fc061caad4d10057da3ed08cdc","1","No"
"0x12a1434bdbdf7180b9a23d86fb6a45a7acfe4eff","1","No"
"0x135d92ea1ec8703329cf1ad3e9e7190cd68926d1","1","No"
"0x1ca483829e14ce53042dd6d1eafeddb81203f077","1","No"
"0x1dc165857682c888916047ca8a9c082be092ba5f","1","No"
"0x1f60263ee43bda39b40deca1c25d571a8b9fa941","1","No"
"0x204516b5944e11feb77e1c3c26b3f4efff8d147a","1","No"
"0x20797e6eb03e535251e50de3f479a72fcc59d1d5","1","No"
"0x22c402d624f9a4c6d706ed1b030dbacfe31eef69","1","No"
"0x289f18d2748defd3d0f79d04fb734e0d05f4b474","1","No"
"0x2b6b32c523cc974f899e2ba3a71fe9b3bed6ff2a","1","No"
"0x2c69286cd311a794e081b897aab1bb444676c666","1","No"
"0x2cbf39303cbd9a8e651872adbb6141e3037b43b7","1","No"
"0x2d57ff9ca78b82e8061721aa462d0f872cdb8a07","1","No"
"0x318c4344484bc4c91c6dca321281116f3031495f","1","No"
"0x319d7829b7b03e966b8dde2aee9caae381d175ed","1","No"
"0x320dfbf15fdd732580c6815cbaeb4a136926814f","1","No"
"0x39ff664f55770b9af71f23ecc437c1246dacd944","1","No"
"0x422e1e16345377f809c79ad9891e73d932e00514","1","No"
"0x43cd0725fc111348fda16873174e818a05ba549c","1","No"
"0x44eca60441d3970d8d60ec3239e6d6fcb8b45a3c","1","No"
"0x46e25112729fc6a6c41c0de162fdd80042e88235","1","No"
