"HolderAddress","Quantity","PendingBalanceUpdate"
"0x6b4c2803ed8b91ff3030a653156f0707c0ff8122","13","No"
"0x1423b1acd06ed52663e5871e121a17131636fc0d","3","No"
"0x50bfdfcb02d68e3a4643bce7edab5691ea6749b9","1","No"
"0x643c1d484343f7019dc38e6c95a4643224276617","1","No"
"0x93a6d60ee0a7059d9f508f0af995581278d90e41","1","No"
"0xb2e0ee23551b8b056fa18e1f5be113e6f8150ac8","1","No"
"0xb6a54cf853bc69e345595654faf700ddbd170012","1","No"
"0xcf806faa913b3ac7bcb7b57b1199411a76d96646","1","No"
"0xd4543f9f357598e92f45325e6f2f760dc8dbe556","1","No"
"0xf1e85e8a854e78def8c165359f59e62f8ed21527","1","No"
"0xf5a4b1ae0f14c8f6c4d02739e76044fcddc65a26","1","No"
"0xf8867a4ca5433ca4ab2a164bfa7608fc0d89cc02","1","No"
