"HolderAddress","Quantity","PendingBalanceUpdate"
"0xc01a9e11d519c0685eea781fb7734e2a080ec24d","1063","No"
"0xf68e4d63c8ea83083d1cb9858210cf2b03d8266b","925","No"
"0x23eea131822079e935b3177313901de90de4d877","543","No"
"0x48985d049e0df887844b6835e1353da1f9102721","394","No"
"0xe03fff2fca9110da676ffa33ee0601bd7093eca7","262","No"
"0x1d055f92d319bda67d834db9cdf62233af729c73","215","No"
"0xbd71c412c3eb66add8a50642cf67c4e9dc72dd31","166","No"
"0xa2d214f6e2aa8e7f34a0ae745d2e2d6d98725bcb","135","No"
"0x6197d54d4e8ceb5c6199063dd742b4d3fcb4f9d1","125","No"
"0x62ba9de7d81b96d697fc2f26b5eb647f184f9b2e","121","No"
"0x2824363ce4ec37bfe021a04de5b21bc444866900","114","No"
"0xed1917c5ee797cd2d885196a276cd93a9f9804ef","110","No"
"0x27fd1240deb062d54f730155a4b4f85d31788e03","106","No"
"0xf252383ee958eb1833453a6a2b9d8be4cc923b44","105","No"
"0x89cbd77f5cb92818c54c59a581ec145ac78181a3","103","No"
"0x03d8262142746439a952c6072cb7ffad7062f30e","101","No"
"0x151a99573fba6cbdea41a938a4d2c35ba1449e52","91","No"
"0xc837b15eba342c181040b6f1779d4840bacb1c4e","86","No"
"0x7127b855da0b94a763ed023e2890fb9f13d18918","84","No"
"0x42ba7fb52645d99a811f11c62dd53551089e646c","81","No"
"0xe77ede6e77595e84888e424597913b6894f4a4ea","77","No"
"0x78d6d618aa1c416c17cd96427ee1d21a848bb699","76","No"
"0x58a99bf1d739958f3bc2100298cc64615d89ffac","71","No"
"0xa8f4ff108b286d121aa141e80cc4306d1323af5f","70","No"
"0xd09d1ab6ddbe160fb800ea3fe67392dd960806b8","68","No"
"0xb3a3eb8b4de324db3c2851603e59854b2c96b606","68","No"
"0x4d9254292099ce10bc05a5ba57603ca5be1a77b6","66","No"
"0xd897c00ef8a54dddef98aa66b20b7c5fe0970094","66","No"
"0x964f690def870b36f017f6127ab1b929645333c0","64","No"
"0x8ca185a04544fe63f2f7b30c617f14b58863508d","61","No"
"0x779f5c284bc35ae9ac58cfa2cfd5c230938fb3cf","60","No"
"0x83919a8549f012264ebaafc8e6eec089a683a076","58","No"
"0x614d710cdd2ae81662ab267e2127e2d81fcfd888","54","No"
"0x1078190e194a7cf63f93733bbff5612172147f79","52","No"
"0x4ea7e34f6484b76655988245077673b49f9cf7d1","52","No"
"0x9c53d50299b882f149e7e0e3acb1d8d036baad1a","52","No"
"0xe37894b4d9b5b613af18f7a4c5a5a3a1f8a7cb7d","51","No"
"0xe72d27346742e4f5cc1c581896564660691166d7","51","No"
"0x0e52b9228f901b393c182a5c30f2a10db2ae247b","49","No"
"0x044bd7270e934a92771330e246d9986d6d2ef9b6","49","No"
"0x2b85383f51304ccb55e56d25b7c4b8cba6e5b5b8","49","No"
"0xff00d4fd6dcd4599fea5bed04cd4790d10e7cccc","48","No"
"0x06642e9404c0792cd373b8310450c1f4a065b7fb","46","No"
"0xcceab6fd096377238ce5ef0628faba0b6eb01f8b","46","No"
"0xeacba2b4eb0eef9d66f8d26c8f38a8d65ae74d56","45","No"
"0xc6ebb76a355147ebf066b20a9f37800662861e73","45","No"
"0x577844892681ae0adeeca6a71dd57f11b49e9c59","45","No"
"0x8a5aa34b2f48ee035c5065a03da6ccbe2dfe79e7","45","No"
"0x0a79354834e07bec04e93550b23d29edd2e3a8b2","44","No"
"0x4a8d3ea24af43e1d9af5f79fe58c9b9ed3a3e2d4","44","No"
"0x180f752f1b3f3031a545d8d41069cab472322d84","44","No"
"0x32d6fb40ca8d2999bc0c792c0f18f49bf01c00eb","44","No"
"0x83a0e825d77a3e075a533541014c1e27d4b11502","44","No"
"0xb3f8e19ecf2de9adb7ae997e8700314d24662cf4","44","No"
"0xcc7bbf6617f5e03c4dae514a2cff8fe958d02811","44","No"
"0xd38c4ec9641c25c95ea1612224e19e4fb91c3333","43","No"
"0x70dae36f3c9499b48e460116c6d96e6163f96d25","43","No"
"0x06401f513e867b58c0b825b6ac7af69b05172a72","42","No"
"0x961d63a5c37afba739093cb32ec0993df007675b","42","No"
"0xe43e301f2ab01cfb7be76eafd3aaeb15ffe82eda","41","No"
"0x40cb6ebf4dc02726d2a213e057833162ff1254e8","41","No"
"0xd6704486175e17e752c84448a7aa2b3b1f4e799f","40","No"
"0xf8d35ac03d4b743fcdf4dae359965cb3355400a3","39","No"
"0xd2b507223552e1b21a48b8ca3fc0c43bb80a3ceb","39","No"
"0x34eac61ce753a13b509c9b701fc949de2e54a189","39","No"
"0x56fc2066e288a4f67e6b9950618b3cb80bae3cfd","39","No"
"0x5f3f07af616dcfd67ac1664cadd21b05701aa481","38","No"
"0x96221d065a47bc75e0110ffc6316029ada1a9fdd","38","No"
"0xc1833364070af6130ac99a224dafa0eb1acefb3d","38","No"
"0x0ae44ed30c03dc4bda6c1334bcd699f45b60bbea","37","No"
"0xc72cc7eb227ea35ba74c59b0c7537299c233740c","37","No"
"0x7a65ad5e1ca5f05b0bdbfb0c46ca56a9e25fab1b","37","No"
"0x0658718e947b56b55ad5ccf3e019d501ffe929b8","37","No"
"0x9aa6a371c01190136284a4a8271c6549d344fbeb","36","No"
"0x34e10482b76cbe19b2b53b32694a56ac69cd1cba","36","No"
"0xc3f1c5dad1fc76ae32315b7ab3fd377eba0104ee","36","No"
"0x402ae1393e15c44fe2e45e4d6a8a028559c4e6cd","36","No"
"0x1cea02edd62632ebedb6ff4547c528beb5db415f","35","No"
"0xba0dddb50cbb02fdd4ae207f45147677e547b3c0","35","No"
"0x5faa7f974303d9674ad05bd59185f0efcf7777e0","35","No"
"0xa4b0679f66b072ab8bac48063f07a4f98be7d314","34","No"
"0xa1d724143f396ff69959afab6990618fbddecbcd","34","No"
"0x14c75461d953ddc02f208d3d911a6342473a2963","33","No"
"0x1883a95e5d862c8f43b6272fef9b64dfc8438bca","33","No"
"0xae4ca2684681df3a2c4016142a220c4d753bfeef","33","No"
"0xef8a28b8a39fb292afc471e21106eeef1985ce4c","33","No"
"0x1b528b2718ac46e5bf013d0addf9a891eb584cfd","33","No"
"0x2e1de05a924d1eb7c8edc5ceaf0cf43c2b105b2f","33","No"
"0xfaee12a041b08fcfb0facd54e2958334f767e783","33","No"
"0xf1055189512263c4580cab08049190f63345b3e7","33","No"
"0x9d0d04c32efd0983b7ada2423b58df2c20e2c975","32","No"
"0x4a34d43b7a7d04e93f7d041dea6ca20778b76ce2","32","No"
"0x5023357f6d34db43f966ce7b441b1ba92592d322","31","No"
"0x2a0a965ec6b07fbd630fba63a72b78c02cf72f89","31","No"
"0x9b0dc391e3842c6632f9d91bed77403802d39cc4","31","No"
"0x77db0a585d2987f114bf293e60e6e407178cf309","31","No"
"0xe60da0da2627bb46aeb3f0613da5418d0bef3983","31","No"
"0x86554243842eeb14703ccac716eded0d64415a8f","31","No"
"0xff7d5c8863069734e50c2b607e16bad02c4986dc","31","No"
"0x5c498d1530a31a74e44b5d3782cc112e091960a8","30","No"
"0x5fc97b4358afc69565e2d120ca61e46a2e89e82b","30","No"
"0xd37d05a19371853336efe6c34560f1e5f295a390","30","No"
"0x082104caf46b50ee2886a45765ce85e525fcedd0","30","No"
"0x8b60e4c0f7089d2a3e85b6132216bd14233973f0","30","No"
"0x20c1cd5c2ca77bee95281e6a798fbfbfab514738","29","No"
"0xe3109c5904ebfa5dd69a4460fd603f3188dba002","29","No"
"0xdc00f17a432b37a92cda402eeb98a10c18807683","29","No"
"0x92678d4c84ea4e91d90e365c9d394fc31f0609e5","29","No"
"0x757efef55cef70052601c97a68c3d4a41295dfb2","29","No"
"0x4ae51f105e4777fd204e860594eb0880db27e01b","29","No"
"0xcdd5faa759162781f1d7ebd0dc6249fa73dea338","28","No"
"0x0aef48ebe3ffa769b2d86fb140d08f04706bedfe","28","No"
"0x793b3f296b531e2c77f7f778e9553ca641ea5bfd","28","No"
"0x5b039005b634d65e4bf51ec32db7d4eb73db1155","28","No"
"0xb09861246e4149afa18581449c0bb6d4f56bfee3","28","No"
"0xfff3f19d6d15751c3e3bb9ad22862fe78867c52c","28","No"
"0xa217f131c0dc2cd06b96d0f928fc7160a4bf54a8","27","No"
"0xf49f645ce0b95feb8adc6814437ae858c35e2a40","27","No"
"0xe05943a2a2a64babc0cc14738e874e75847a7d9b","27","No"
"0xf52143bd02dd514e11e0c70d49c193d09a56b9ea","27","No"
"0xebdb61373a9886ad4e031a4b64853e01eedbd34a","27","No"
"0x085f40859cf1eff272e72431fc14ca11064eaab8","27","No"
"0x1fd1c858c93bf594ad4d8ec9fe63fd1fe38f5bdf","27","No"
"0x390b6c1eb275b4ed82a2da635d891674f18b8f11","26","No"
"0x30b0963bcd9358ddf88326703593c44e595bc000","26","No"
"0xb5c5dd94b771dd9ce5275b89cfefddc15cb9680d","26","No"
"0x2dbe837bed739f9ab5007c3355f327f1db04b8cf","26","No"
"0x7b205498e37d966fecf5c898eb7243edee4e086f","26","No"
"0x572c6be27907d6bc866b36202265171b25ab0655","26","No"
"0x350acf742c72670d28bed83c77fb526891c19f9c","25","No"
"0x84ee1b8c5dfb3497cabc4e4823a77e6ab0959422","25","No"
"0x203081123970c8414b38a557030c6f345b9cf14e","25","No"
"0x968954ee61455ee73ea96f319eceadaa21375e7f","25","No"
"0x3ddb1781526db72d058f9bc19c4acd65ba42e083","25","No"
"0x9164790de4bff6f6b0b54d0bb557ddac11d50fce","25","No"
"0x9782641a5526d4d48a1550e984e301f5acfa68e3","25","No"
"0x57131cddfe7a342875ba6377543ed28af603497d","25","No"
"0x5136dc7174a6944f72900d9728630df2766321c5","25","No"
"0x81702dbd57dd2c2b033ce5c67b50b49d6ba698e2","25","No"
"0x87b6d36724685ce74c2b08da8c80ad80f77b2c16","24","No"
"0x73c0748a10aceb76972a412a7f21c098e59dbc9d","24","No"
"0x53965893ed46ef565293089afd5c78ea3cdb2c6d","24","No"
"0xcf809e068529c12d9ad03f4ed6930eeadd978719","24","No"
"0xc0350c94bd187c8e1c187e3a91a0cfddce15cc26","24","No"
"0x7dd5b92716542ab2442030df6d87cec437a51ded","24","No"
"0x8af5498a08532b40aa53d6bef92a560e63550cd9","24","No"
"0xff8a5730d801ee34ed0bf073cd1e5b0a2b6a3502","24","No"
"0xe2b3bc7235b147031aa840c42c7120007baeacf1","24","No"
"0x483c126a0542beed590a295b1d995c62e72e8923","24","No"
"0x56ba80efa0ff747703aba2a04adc1611588a8857","24","No"
"0x6f54b4e3e9750f429ba65f61535c719b29bdb505","24","No"
"0x7f82540e193d441aeec5d801c292664a2a21777e","24","No"
"0xd48fd7e3ccff4a6b7f59a3bc438d922bdd9508b4","24","No"
"0x066bad271722a68f93c287fe616cb9cb26993a33","23","No"
"0x8dd055b4b61b67f877a4e83f113768e133734ead","23","No"
"0x59928282de78620d39543b28d5a68709bc81668c","23","No"
"0x89000b6140e88a1fbb7d2474a0eb227110d192aa","23","No"
"0x1cfc4043b745bd3306c76026984dc7276461585b","23","No"
"0xa4d8167d684f59f19a948fdaa889b177c6fafb4d","23","No"
"0x7959aafbde7933776897349888589f488406a2fd","23","No"
"0x866764eda41bad3c859325d20ae23f52729705f5","23","No"
"0xd2bed76c047e7ef313c546eae390774335cdd676","23","No"
"0xe332fb78a70043bb249afe05eeea8cb0b2c3865f","23","No"
"0x3d91cbcbd73036e6fbe2f763d9b1be767d31fb92","23","No"
"0x27b1c6332daa553fd0fff5226373ad750a36e37a","23","No"
"0x34f26c617aa3ef1c245167cc4c5ec2a4aa907f6c","23","No"
"0xb6adfd601c7789161c29d4cf720db8af967e332f","23","No"
"0xf04cee172766b59c3ba4a498023770203647492a","23","No"
"0x0281748d449abd08a7add6387929e5e3e7e10e0f","23","No"
"0xfcf877a63a184270421b374171bdebcbb937d1a2","22","No"
"0xb2f42a783790d1959afb8e9e19326d1487f7bc97","22","No"
"0x9192cb3184fea4c5fa8f7064b6115fafd32af49c","22","No"
"0x7a4d4994c820875691f9ab285bec1398645c5594","22","No"
"0xb1aaf109d25fb01479d1bfb61f333105586e4ea0","22","No"
"0xe245fb5a9cdc6b9fd274ae21d1c4592e83ede36c","22","No"
"0x7d5a62ed1e77ff04b8507fdc536109aedea1c2a5","22","No"
"0x21e115242ff2e57c5aadfdaa58a56d722aa66612","22","No"
"0x450844ab03c3c9aef4e81aa785f6730decc2fa64","22","No"
